product,subproduct,site,rows,n_samples,date_min,date_max,span_days,expected_samples,completeness_pct,mean_interval_h,median_interval_h,p95_interval_h,max_gap_days,notes
FilterBased,ChemSpecPM25,CLST,6031,163.0,2024-11-05,2026-02-21,473.0,54.0,304.4,70.07,48.0,96.0,75.2,
FilterBased,ChemSpecPM25,CLTA,2523,82.0,2025-07-25,2026-02-25,215.0,25.0,329.5,63.7,48.0,96.0,35.0,
FilterBased,ChemSpecPM25,ETAD,9115,246.0,2022-12-07,2026-03-01,1180.0,132.0,186.2,115.59,72.0,216.0,111.0,
FilterBased,ChemSpecPM25,IDBD,3959,122.0,2014-01-10,2025-05-27,4155.0,463.0,26.4,824.13,216.0,1728.0,1203.0,
FilterBased,ChemSpecPM25,ILHA,7081,178.0,2022-02-16,2025-07-14,1244.0,139.0,127.9,168.68,72.0,244.8,320.0,
FilterBased,ChemSpecPM25,ILNZ,10812,288.0,2015-02-13,2025-02-10,3649.9,407.0,70.8,305.22,72.0,892.7,296.0,
FilterBased,ChemSpecPM25,INDH,3725,110.0,2024-03-05,2026-02-11,708.0,80.0,138.1,155.89,48.0,168.0,358.0,
FilterBased,ChemSpecPM25,INJA,1699,47.0,2025-04-13,2026-02-03,296.0,34.0,138.7,154.43,48.0,558.0,81.0,
FilterBased,ChemSpecPM25,INKA,1434,40.0,2013-12-16,2022-05-16,3073.0,342.0,11.7,1891.08,216.0,2816.7,2492.4,
FilterBased,ChemSpecPM25,KRSE,3234,89.0,2019-05-02,2023-12-31,1704.0,190.0,46.8,464.73,216.0,1396.8,278.0,
FilterBased,ChemSpecPM25,KRUL,4770,132.0,2021-10-28,2026-03-04,1588.0,177.0,74.4,290.93,216.0,432.0,158.0,
FilterBased,ChemSpecPM25,MXMC,2104,59.0,2021-02-26,2026-02-23,1823.0,204.0,29.0,754.34,216.0,2319.6,587.0,
FilterBased,ChemSpecPM25,NGIL,2193,67.0,2014-06-20,2026-02-26,4269.0,475.0,14.1,1552.36,216.0,5338.0,1484.1,
FilterBased,ChemSpecPM25,PHMO,420,12.0,2014-05-01,2015-10-13,529.6,60.0,20.1,1155.55,216.0,4219.5,251.0,
FilterBased,ChemSpecPM25,PRFJ,2125,55.0,2021-03-18,2025-05-18,1521.8,170.0,32.3,676.33,216.0,2104.8,381.1,
FilterBased,ChemSpecPM25,SGSU,1693,50.0,2016-04-05,2019-12-09,1343.0,150.0,33.3,657.8,216.0,1315.2,740.0,
FilterBased,ChemSpecPM25,TWKA,5992,160.0,2022-08-20,2026-02-10,1270.0,142.0,112.6,191.7,72.0,216.0,453.0,
FilterBased,ChemSpecPM25,TWTA,9622,260.0,2022-01-27,2026-02-05,1470.0,164.0,158.2,136.22,72.0,216.1,356.0,
FilterBased,ChemSpecPM25,USBO,362,11.0,2015-08-11,2016-03-27,229.0,26.0,41.6,549.6,300.0,1537.2,87.0,
FilterBased,ChemSpecPM25,USMC,423,19.0,2014-06-07,2014-08-12,66.0,8.0,228.0,88.0,72.0,154.8,9.0,
FilterBased,ChemSpecPM25,USNO,962,33.0,2023-02-21,2024-11-25,642.9,72.0,45.6,482.16,216.0,2160.35,152.0,
FilterBased,ChemSpecPM25,USPA,10018,264.0,2021-11-09,2024-08-13,1008.1,113.0,233.6,91.99,72.0,165.6,82.9,
FilterBased,ChemSpecPM25,VNHN,785,22.0,2015-05-22,2019-08-04,1534.9,172.0,12.8,1754.14,216.0,8454.0,592.0,
FilterBased,ChemSpecPM25,ZAJB,8120,212.0,2022-04-07,2025-11-11,1314.0,147.0,144.2,149.46,72.0,264.0,285.0,
FilterBased,ChemSpecPM25,ZAPR,10611,269.0,2015-10-18,2025-08-31,3605.0,402.0,67.0,322.84,72.0,525.6,1616.0,
FilterBased,ReconstrPM25,AEAZ,1841,150.0,2019-04-26,2024-12-02,2047.0,228.0,65.7,329.72,216.0,950.4,82.0,
FilterBased,ReconstrPM25,ARCB,465,43.0,2014-10-02,2016-10-13,742.0,83.0,51.5,424.0,216.0,859.2,185.1,
FilterBased,ReconstrPM25,AUMN,641,63.0,2022-11-28,2026-02-27,1186.6,133.0,47.4,459.34,216.0,1285.2,294.0,
FilterBased,ReconstrPM25,BDDU,1256,111.0,2013-10-24,2024-05-25,3866.0,431.0,25.8,843.5,216.0,1314.0,1756.1,
FilterBased,ReconstrPM25,BIBU,487,43.0,2022-12-09,2024-08-01,601.0,68.0,63.4,343.43,216.0,889.2,128.0,
FilterBased,ReconstrPM25,CADO,821,70.0,2017-07-12,2019-08-04,752.9,85.0,82.7,261.87,216.0,729.6,54.0,
FilterBased,ReconstrPM25,CAHA,1904,173.0,2017-06-28,2024-02-05,2412.9,269.0,64.3,336.68,216.0,1147.2,351.0,
FilterBased,ReconstrPM25,CAKE,192,18.0,2017-11-02,2019-02-26,481.0,54.0,33.1,679.06,216.0,3249.6,249.0,
FilterBased,ReconstrPM25,CALE,177,31.0,2017-08-26,2019-08-23,727.0,82.0,37.9,581.57,220.0,1437.75,309.0,
FilterBased,ReconstrPM25,CASH,1235,106.0,2017-06-28,2024-08-15,2605.0,290.0,36.5,595.43,216.0,1963.2,393.0,
FilterBased,ReconstrPM25,CHTS,4272,370.0,2013-06-28,2024-10-06,4118.0,459.0,80.7,267.84,72.0,638.4,563.0,
FilterBased,ReconstrPM25,CLST,1706,184.0,2024-11-05,2026-04-25,536.0,61.0,303.9,70.3,48.0,96.0,75.2,
FilterBased,ReconstrPM25,CLTA,735,96.0,2025-07-25,2026-04-21,270.0,31.0,309.7,68.21,48.0,120.0,35.0,
FilterBased,ReconstrPM25,ETAD,2868,246.0,2022-12-07,2026-03-01,1180.0,132.0,186.2,115.59,72.0,216.0,111.0,
FilterBased,ReconstrPM25,IDBD,1282,122.0,2014-01-10,2025-05-27,4155.0,463.0,26.4,824.13,216.0,1728.0,1203.0,
FilterBased,ReconstrPM25,ILHA,2257,194.0,2022-02-16,2026-03-06,1479.0,165.0,117.3,183.92,72.0,331.2,320.0,
FilterBased,ReconstrPM25,ILNZ,3382,294.0,2015-02-13,2026-03-21,4053.9,451.0,65.1,332.06,72.0,1128.6,359.0,
FilterBased,ReconstrPM25,INDH,1018,136.0,2024-03-05,2026-04-26,782.0,88.0,154.7,139.02,48.0,199.2,358.0,
FilterBased,ReconstrPM25,INJA,493,61.0,2025-04-13,2026-03-15,336.0,38.0,159.1,134.4,48.0,306.0,81.0,
