product,subproduct,site,rows,n_samples,date_min,date_max,span_days,expected_samples,completeness_pct,mean_interval_h,median_interval_h,p95_interval_h,max_gap_days,notes
NephelProcd,DailyScaPM25,CASH,2458,2458.0,2017-04-25,2024-11-25,2771.0,2772.0,88.7,27.07,24.0,24.0,86.0,
NephelProcd,DailyScaPM25,CHTS,769,769.0,2019-04-23,2022-06-12,1146.0,1147.0,67.0,35.81,24.0,24.0,172.0,
NephelProcd,DailyScaPM25,CODC,142,142.0,2019-10-08,2020-09-11,339.0,340.0,41.8,57.7,24.0,24.0,151.0,
NephelProcd,DailyScaPM25,ILNZ,533,533.0,2017-07-18,2025-02-13,2767.0,2768.0,19.3,124.83,24.0,24.0,872.0,
NephelProcd,DailyScaPM25,INKA,36,36.0,2019-10-21,2019-11-25,35.0,36.0,100.0,24.0,24.0,24.0,1.0,
NephelProcd,DailyScaPM25,KRSE,142,142.0,2018-09-18,2021-03-16,910.0,911.0,15.6,154.89,24.0,24.0,739.0,
NephelProcd,DailyScaPM25,KRUL,323,323.0,2021-09-03,2023-01-06,490.0,491.0,65.8,36.52,24.0,24.0,104.0,
NephelProcd,DailyScaPM25,MXMC,671,671.0,2021-02-17,2023-08-07,901.0,902.0,74.4,32.27,24.0,37.2,104.0,
NephelProcd,DailyScaPM25,NGIL,77,77.0,2019-04-26,2020-10-16,539.0,540.0,14.3,170.21,24.0,672.0,209.0,
NephelProcd,DailyScaPM25,PHMO,877,877.0,2019-10-23,2023-05-02,1287.0,1288.0,68.1,35.26,24.0,24.0,127.0,
NephelProcd,DailyScaPM25,SGSU,180,180.0,2019-08-02,2020-01-28,179.0,180.0,100.0,24.0,24.0,24.0,1.0,
NephelProcd,DailyScaPM25,USNO,677,677.0,2022-08-03,2024-08-03,731.0,732.0,92.5,25.95,24.0,24.0,22.0,
NephelProcd,DailyScaPM25,VNHN,14,14.0,2019-11-28,2020-08-10,256.0,257.0,5.4,472.62,24.0,2352.0,173.0,
