product,subproduct,parameter,AEAZ,ARCB,AUMN,BDDU,BIBU,CADO,CAHA,CAKE,CALE,CASH,CHTS,CLST,CLTA,ETAD,ETBI,IDBD,ILHA,ILNZ,INDH,INJA,INKA,KRSE,KRUL,MXMC,NGIL,PHMO,PRFJ,SGSU,TWKA,TWTA,USBO,USMC,USNO,USPA,VNHN,ZAJB,ZAPR,TOTAL_rows,n_sites
FilterBased,ChemSpecPM10,Equivalent BC PM10,14.0,0.0,0.0,2.0,0.0,12.0,25.0,4.0,7.0,13.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,3.0,7.0,5.0,4.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,148.0,19
FilterBased,ChemSpecPM10,Iron PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Lead PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Lithium PM10,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,9
FilterBased,ChemSpecPM10,Magnesium Ion PM10,16.0,0.0,14.0,11.0,5.0,12.0,35.0,4.0,3.0,16.0,21.0,0.0,0.0,10.0,0.0,6.0,7.0,21.0,0.0,0.0,3.0,9.0,22.0,7.0,11.0,0.0,6.0,2.0,5.0,7.0,0.0,0.0,1.0,0.0,6.0,4.0,7.0,271.0,27
FilterBased,ChemSpecPM10,Magnesium PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Manganese PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Nickel PM10,17.0,0.0,13.0,9.0,5.0,12.0,29.0,4.0,4.0,15.0,18.0,0.0,0.0,6.0,0.0,6.0,4.0,15.0,0.0,0.0,3.0,9.0,20.0,11.0,12.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,6.0,247.0,27
FilterBased,ChemSpecPM10,Nitrate Ion PM10,16.0,0.0,17.0,11.0,5.0,12.0,34.0,4.0,3.0,17.0,20.0,0.0,0.0,11.0,0.0,6.0,8.0,21.0,0.0,0.0,3.0,9.0,25.0,12.0,10.0,0.0,6.0,2.0,6.0,7.0,0.0,0.0,1.0,0.0,5.0,10.0,8.0,289.0,27
FilterBased,ChemSpecPM10,Nitrite Ion PM10,9.0,0.0,14.0,10.0,4.0,11.0,24.0,4.0,0.0,13.0,9.0,0.0,0.0,6.0,0.0,2.0,4.0,7.0,0.0,0.0,2.0,8.0,20.0,7.0,8.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,185.0,25
FilterBased,ChemSpecPM10,OC PM10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,11
FilterBased,ChemSpecPM10,OM PM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,6
FilterBased,ChemSpecPM10,PM10 mass,17.0,0.0,13.0,10.0,5.0,22.0,49.0,8.0,7.0,25.0,23.0,0.0,0.0,6.0,0.0,7.0,4.0,21.0,0.0,0.0,3.0,11.0,20.0,11.0,16.0,0.0,8.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,8.0,6.0,7.0,318.0,27
FilterBased,ChemSpecPM10,Phosphate Ion PM10,4.0,0.0,1.0,0.0,1.0,11.0,14.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,63.0,17
FilterBased,ChemSpecPM10,Phosphorus PM10,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,9
FilterBased,ChemSpecPM10,Potassium Ion PM10,16.0,0.0,13.0,11.0,5.0,12.0,35.0,4.0,3.0,17.0,21.0,0.0,0.0,11.0,0.0,6.0,7.0,22.0,0.0,0.0,3.0,10.0,24.0,11.0,11.0,0.0,6.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,6.0,9.0,9.0,284.0,27
FilterBased,ChemSpecPM10,Potassium PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Rubidium PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Selenium PM10,17.0,0.0,13.0,9.0,5.0,22.0,35.0,8.0,6.0,18.0,21.0,0.0,0.0,6.0,0.0,6.0,4.0,16.0,0.0,0.0,3.0,9.0,20.0,11.0,14.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,8.0,6.0,6.0,280.0,27
FilterBased,ChemSpecPM10,Silicon PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Sodium Ion PM10,16.0,0.0,14.0,11.0,5.0,9.0,32.0,3.0,3.0,17.0,17.0,0.0,0.0,10.0,0.0,6.0,7.0,21.0,0.0,0.0,3.0,9.0,23.0,10.0,11.0,0.0,6.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,7.0,7.0,263.0,27
FilterBased,ChemSpecPM10,Sodium PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Strontium PM10,17.0,0.0,13.0,9.0,5.0,2.0,23.0,0.0,2.0,12.0,15.0,0.0,0.0,6.0,0.0,6.0,4.0,14.0,0.0,0.0,3.0,9.0,20.0,11.0,10.0,0.0,7.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,214.0,26
FilterBased,ChemSpecPM10,Sulfate Ion PM10,16.0,0.0,15.0,11.0,5.0,12.0,34.0,4.0,3.0,17.0,19.0,0.0,0.0,10.0,0.0,6.0,6.0,20.0,0.0,0.0,3.0,9.0,24.0,12.0,10.0,0.0,6.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,5.0,9.0,9.0,279.0,27
