Site,Latitude,Longitude,Barcode,FilterId,SampleDate,FilterType,LotId,AnalysisDate,AnalysisTime,CalibrationSetId,DepositArea_cm2,Volume_m3,Parameter,MassLoading_ug,Concentration,MDL,Uncertainty,FilterComments,DataSource,Concentration_Units,MDL_Units,MassLoading_Units
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,0.55,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,1.62,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,67.2,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.06,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,0.87,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.33,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.21,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.16,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0001,2013-09-02,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,1.74,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,4.4,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,8.79,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,2.82,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,8.44,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,80.7,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.07,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,1.4,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.36,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.29,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0002,2013-09-03,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,8.78,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,1.33,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,8.16,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,2.86,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,7.83,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,18.65,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.05,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,0.64,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.4,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.23,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.21,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0003,2013-09-04,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,2.85,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,2.96,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,10.53,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,3.08,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,10.1,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,57.89,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.08,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,2.43,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.58,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.25,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0005,2013-09-06,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,5.91,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,0.02,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,10.35,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,0.24,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,9.93,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,58.89,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.0,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,1.83,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.0,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.02,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0007,2013-09-08,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,6.44,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,3.62,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,10.37,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,3.18,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,9.95,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,68.84,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.08,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,3.29,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.24,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.51,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.27,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0017,2013-09-09,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,24.17,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Aluminum_PM2.5,,114.46,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,0.06,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Antimony_PM2.5,,5.12,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Arsenic_PM2.5,,1.22,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Barium_PM2.5,,195.21,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cadmium_PM2.5,,0.24,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,2.32,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cerium_PM2.5,,0.47,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Chromium_PM2.5,,17.35,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cobalt_PM2.5,,0.31,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Copper_PM2.5,,7.27,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,21.97,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Iron_PM2.5,,291.21,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Lead_PM2.5,,6.5,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Lithium_PM2.5,,0.32,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.05,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Magnesium_PM2.5,,161.99,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Manganese_PM2.5,,7.83,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Nickel_PM2.5,,-1.09,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrate_Ion_PM2.5,,0.48,0.687803586417416,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Nitrite_Ion_PM2.5,,0.0,0.2001719742424898,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Phosphate_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Phosphorus_PM2.5,,228.51,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Potassium_Ion_PM2.5,,0.09,0.3000604102983166,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Selenium_PM2.5,,0.57,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Selenium_PM2.5,,6.02,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sodium_Ion_PM2.5,,0.18,1.085413693629858,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_312,,,ChemSpec_Sulfate_Ion_PM2.5,,0.54,3.2694065871505913,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Titanium_PM2.5,,6.57,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Vanadium_PM2.5,,0.64,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0018,2013-09-10,PM2.5,,,,ChemSpec_412,,,ChemSpec_Zinc_PM2.5,,54.44,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Aluminum_PM2.5,,195.96,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_312,,,ChemSpec_Ammonium_Ion_PM2.5,,2.61,0.535702943711274,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Antimony_PM2.5,,0.62,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Arsenic_PM2.5,,4.47,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_220,,,ChemSpec_BC_PM2.5,,15.58,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Barium_PM2.5,,106.32,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_312,,,ChemSpec_Bromide_Ion_PM2.5,,0.0,0.0,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cadmium_PM2.5,,0.91,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_312,,,ChemSpec_Calcium_Ion_PM2.5,,2.74,8.908123867151089,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cerium_PM2.5,,0.4,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Chromium_PM2.5,,21.16,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Cobalt_PM2.5,,0.11,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Copper_PM2.5,,18.65,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_212,,,ChemSpec_Equivalent_BC_PM2.5,,14.93,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,75.79,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_112,,,ChemSpec_Filter_PM2.5_mass,,0.0,,,,ChemSpec,ug/m3,ug/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Iron_PM2.5,,532.46,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Lead_PM2.5,,61.36,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_412,,,ChemSpec_Lithium_PM2.5,,0.33,,,,ChemSpec,ng/m3,ng/m3,
CHTS,40.004,116.326,,CHTS-0019,2013-09-11,PM2.5,,,,ChemSpec_312,,,ChemSpec_Magnesium_Ion_PM2.5,,0.09,0.0927374968159612,,,ChemSpec,ng/m3,ng/m3,
