point_id,site,minimum_ec_mdl_multiple
Beijing:CHTS-0870,Beijing,3.0
Beijing:CHTS-0874,Beijing,3.0
Beijing:CHTS-0875,Beijing,3.0
Beijing:CHTS-0877,Beijing,3.0
Beijing:CHTS-0878,Beijing,3.0
Beijing:CHTS-0879,Beijing,3.0
Beijing:CHTS-0882,Beijing,3.0
Beijing:CHTS-0883,Beijing,3.0
Beijing:CHTS-0717,Beijing,5.0
Beijing:CHTS-0721,Beijing,5.0
Beijing:CHTS-0723,Beijing,5.0
Beijing:CHTS-0724,Beijing,5.0
Beijing:CHTS-0725,Beijing,5.0
Beijing:CHTS-0732,Beijing,5.0
Beijing:CHTS-0737,Beijing,5.0
Beijing:CHTS-0747,Beijing,5.0
Beijing:CHTS-0748,Beijing,5.0
Beijing:CHTS-0753,Beijing,5.0
Beijing:CHTS-0778,Beijing,5.0
Beijing:CHTS-0787,Beijing,5.0
Beijing:CHTS-0799,Beijing,5.0
Beijing:CHTS-0805,Beijing,5.0
Beijing:CHTS-0806,Beijing,5.0
Beijing:CHTS-0822,Beijing,5.0
Beijing:CHTS-0835,Beijing,5.0
Beijing:CHTS-0837,Beijing,5.0
Beijing:CHTS-0842,Beijing,5.0
Beijing:CHTS-0844,Beijing,5.0
Beijing:CHTS-0849,Beijing,5.0
Beijing:CHTS-0827,Beijing,5.0
Beijing:CHTS-0831,Beijing,5.0
Beijing:CHTS-0850,Beijing,5.0
Beijing:CHTS-0855,Beijing,5.0
Beijing:CHTS-0861,Beijing,5.0
Beijing:CHTS-0867,Beijing,5.0
Beijing:CHTS-0879,Beijing,5.0
Beijing:CHTS-0882,Beijing,5.0
Beijing:CHTS-0883,Beijing,5.0
Delhi:INDH-0016,Delhi,1.0
Delhi:INDH-0042,Delhi,1.0
Delhi:INDH-0044,Delhi,1.0
Delhi:INDH-0046,Delhi,1.0
Delhi:INDH-0048,Delhi,1.0
Delhi:INDH-0025,Delhi,1.0
Delhi:INDH-0026,Delhi,1.0
Delhi:INDH-0027,Delhi,1.0
Delhi:INDH-0028,Delhi,1.0
Delhi:INDH-0029,Delhi,1.0
Delhi:INDH-0030,Delhi,1.0
Delhi:INDH-0032,Delhi,1.0
Delhi:INDH-0065,Delhi,1.0
Delhi:INDH-0066,Delhi,1.0
Delhi:INDH-0067,Delhi,1.0
Delhi:INDH-0068,Delhi,1.0
Delhi:INDH-0069,Delhi,1.0
Delhi:INDH-0070,Delhi,1.0
Delhi:INDH-0072,Delhi,1.0
Delhi:INDH-0082,Delhi,1.0
Delhi:INDH-0083,Delhi,1.0
Delhi:INDH-0084,Delhi,1.0
Delhi:INDH-0085,Delhi,1.0
Delhi:INDH-0088,Delhi,1.0
Delhi:INDH-0162,Delhi,1.0
Delhi:INDH-0163,Delhi,1.0
Delhi:INDH-0164,Delhi,1.0
Delhi:INDH-0165,Delhi,1.0
Delhi:INDH-0166,Delhi,1.0
Delhi:INDH-0168,Delhi,1.0
Delhi:INDH-0129,Delhi,1.0
Delhi:INDH-0131,Delhi,1.0
Delhi:INDH-0132,Delhi,1.0
Delhi:INDH-0133,Delhi,1.0
Delhi:INDH-0134,Delhi,1.0
Delhi:INDH-0136,Delhi,1.0
Delhi:INDH-0137,Delhi,1.0
Delhi:INDH-0138,Delhi,1.0
Delhi:INDH-0139,Delhi,1.0
Delhi:INDH-0140,Delhi,1.0
Delhi:INDH-0141,Delhi,1.0
Delhi:INDH-0142,Delhi,1.0
Delhi:INDH-0144,Delhi,1.0
Delhi:INDH-0145,Delhi,1.0
Delhi:INDH-0146,Delhi,1.0
Delhi:INDH-0147,Delhi,1.0
Delhi:INDH-0148,Delhi,1.0
Delhi:INDH-0149,Delhi,1.0
Delhi:INDH-0150,Delhi,1.0
Delhi:INDH-0152,Delhi,1.0
Delhi:INDH-0169,Delhi,1.0
Delhi:INDH-0170,Delhi,1.0
Delhi:INDH-0171,Delhi,1.0
Delhi:INDH-0173,Delhi,1.0
Delhi:INDH-0174,Delhi,1.0
Delhi:INDH-0176,Delhi,1.0
Delhi:INDH-0016,Delhi,1.5
Delhi:INDH-0042,Delhi,1.5
Delhi:INDH-0046,Delhi,1.5
Delhi:INDH-0048,Delhi,1.5
Delhi:INDH-0025,Delhi,1.5
Delhi:INDH-0026,Delhi,1.5
Delhi:INDH-0027,Delhi,1.5
Delhi:INDH-0028,Delhi,1.5
Delhi:INDH-0029,Delhi,1.5
Delhi:INDH-0030,Delhi,1.5
Delhi:INDH-0032,Delhi,1.5
Delhi:INDH-0065,Delhi,1.5
Delhi:INDH-0066,Delhi,1.5
Delhi:INDH-0067,Delhi,1.5
Delhi:INDH-0068,Delhi,1.5
Delhi:INDH-0069,Delhi,1.5
Delhi:INDH-0070,Delhi,1.5
Delhi:INDH-0072,Delhi,1.5
Delhi:INDH-0082,Delhi,1.5
Delhi:INDH-0084,Delhi,1.5
Delhi:INDH-0085,Delhi,1.5
Delhi:INDH-0088,Delhi,1.5
Delhi:INDH-0162,Delhi,1.5
Delhi:INDH-0163,Delhi,1.5
Delhi:INDH-0164,Delhi,1.5
Delhi:INDH-0165,Delhi,1.5
Delhi:INDH-0166,Delhi,1.5
Delhi:INDH-0168,Delhi,1.5
Delhi:INDH-0129,Delhi,1.5
Delhi:INDH-0131,Delhi,1.5
Delhi:INDH-0132,Delhi,1.5
Delhi:INDH-0133,Delhi,1.5
Delhi:INDH-0134,Delhi,1.5
Delhi:INDH-0136,Delhi,1.5
Delhi:INDH-0137,Delhi,1.5
Delhi:INDH-0138,Delhi,1.5
Delhi:INDH-0139,Delhi,1.5
Delhi:INDH-0140,Delhi,1.5
Delhi:INDH-0141,Delhi,1.5
Delhi:INDH-0142,Delhi,1.5
Delhi:INDH-0144,Delhi,1.5
Delhi:INDH-0145,Delhi,1.5
Delhi:INDH-0146,Delhi,1.5
Delhi:INDH-0147,Delhi,1.5
Delhi:INDH-0148,Delhi,1.5
Delhi:INDH-0149,Delhi,1.5
Delhi:INDH-0150,Delhi,1.5
Delhi:INDH-0152,Delhi,1.5
Delhi:INDH-0169,Delhi,1.5
Delhi:INDH-0170,Delhi,1.5
Delhi:INDH-0173,Delhi,1.5
Delhi:INDH-0174,Delhi,1.5
Delhi:INDH-0176,Delhi,1.5
Delhi:INDH-0016,Delhi,2.0
Delhi:INDH-0042,Delhi,2.0
Delhi:INDH-0046,Delhi,2.0
Delhi:INDH-0048,Delhi,2.0
Delhi:INDH-0025,Delhi,2.0
Delhi:INDH-0026,Delhi,2.0
Delhi:INDH-0028,Delhi,2.0
Delhi:INDH-0029,Delhi,2.0
Delhi:INDH-0030,Delhi,2.0
Delhi:INDH-0032,Delhi,2.0
Delhi:INDH-0065,Delhi,2.0
Delhi:INDH-0066,Delhi,2.0
Delhi:INDH-0067,Delhi,2.0
Delhi:INDH-0068,Delhi,2.0
Delhi:INDH-0069,Delhi,2.0
Delhi:INDH-0070,Delhi,2.0
Delhi:INDH-0072,Delhi,2.0
Delhi:INDH-0082,Delhi,2.0
Delhi:INDH-0084,Delhi,2.0
Delhi:INDH-0085,Delhi,2.0
Delhi:INDH-0088,Delhi,2.0
Delhi:INDH-0162,Delhi,2.0
Delhi:INDH-0163,Delhi,2.0
Delhi:INDH-0164,Delhi,2.0
Delhi:INDH-0165,Delhi,2.0
Delhi:INDH-0166,Delhi,2.0
Delhi:INDH-0168,Delhi,2.0
Delhi:INDH-0129,Delhi,2.0
Delhi:INDH-0131,Delhi,2.0
Delhi:INDH-0132,Delhi,2.0
Delhi:INDH-0133,Delhi,2.0
Delhi:INDH-0134,Delhi,2.0
Delhi:INDH-0136,Delhi,2.0
Delhi:INDH-0137,Delhi,2.0
Delhi:INDH-0138,Delhi,2.0
Delhi:INDH-0139,Delhi,2.0
Delhi:INDH-0140,Delhi,2.0
Delhi:INDH-0141,Delhi,2.0
