site,denominator_group,n,median,maximum
Addis_Ababa,1 to <2 times MDL,1,55.40694945005056,55.40694945005056
Addis_Ababa,at least 2 times MDL,189,10.146876484854362,18.65162980575278
Beijing,1 to <2 times MDL,37,11.819843354900001,29.138563742253744
Beijing,at least 2 times MDL,113,9.444341456666374,23.043734820419076
Delhi,1 to <2 times MDL,4,8.842904390921667,17.49946631483921
Delhi,at least 2 times MDL,52,8.609698509119372,22.830111496262457
JPL,1 to <2 times MDL,77,9.65074657137715,17.012843696572038
JPL,at least 2 times MDL,7,8.54663627819027,11.402613737371533
