site,population,scheme,block,metadata_field,reported_value,n,ec_min,ec_max,mdl_min,mdl_max,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct
Addis_Ababa,diagnostic,leave_quarter_out,2022Q4,ftir_CalibrationSetId,17,9,1.62566803465763,4.44446651940708,0.464676223281463,0.477235040126908,-4.114701691880353,5.85697401812066,7.12927757477724,3.095915138888887,7.406455645555557,9.508268126140132,1.549481627434897,20.920690024852917
Addis_Ababa,diagnostic,leave_quarter_out,2023Q1,ftir_CalibrationSetId,17,25,0.693114797533127,5.1807562461787,0.449217327399301,0.48736741889818,-2.8406900530553663,4.495234389204153,5.626002214305716,4.5618665928,6.420474531999999,7.622044867498415,1.9252401427958459,29.985947817413535
Addis_Ababa,diagnostic,leave_quarter_out,2023Q1,ftir_CalibrationSetId,11,1,6.63401511944448,6.63401511944448,0.409759055442694,0.409759055442694,-7.701800326330918,7.701800326330918,7.701800326330918,-14.753706469999997,14.753706469999997,14.753706469999997,7.051906143669079,47.79752232436193
Addis_Ababa,diagnostic,leave_quarter_out,2023Q2,ftir_CalibrationSetId,11,28,1.90446116072198,9.84021969992934,0.409759055442694,0.419307645387154,-0.450629946147125,3.010308795298119,4.021868952309954,-5.270550607500001,9.550524043214287,12.038134219199849,6.5402152479161675,68.48017154161332
Addis_Ababa,diagnostic,leave_quarter_out,2023Q3,ftir_CalibrationSetId,11,28,3.43937872823145,10.5333537907337,0.404947794517731,0.431100672913667,1.6040933277544467,3.392468951010938,4.356813861424591,-8.078545856071429,10.079263778214283,12.35154241391757,6.686794827203345,66.34209575560911
Addis_Ababa,diagnostic,leave_quarter_out,2023Q4,ftir_CalibrationSetId,11,26,2.23594182575397,4.14642906938964,0.404947794517731,0.419307645387154,0.2124684875548658,2.542362143504854,3.2311450671781934,7.192118163461535,7.360659415384612,8.492195142432474,4.818297271879758,65.46013067537089
Addis_Ababa,diagnostic,leave_quarter_out,2024Q1,ftir_CalibrationSetId,11,31,2.42463370413565,6.96258987683994,0.404947794517731,0.431325321518625,2.3044384533229696,4.018109288017723,5.387756566555944,4.858359178064516,7.41270959548387,9.067217179020949,3.3946003074661464,45.79432478420951
Addis_Ababa,diagnostic,leave_quarter_out,2024Q2,ftir_CalibrationSetId,11,23,2.93608135081302,11.7351130556244,0.404947794517731,0.424033448767542,-1.0301412519126125,4.269888047493372,5.3122417925990355,-8.761399446521743,10.70783007956522,12.90929504749972,6.437942032071848,60.123685043881956
Addis_Ababa,diagnostic,leave_quarter_out,2024Q3,ftir_CalibrationSetId,11,19,3.43072578969257,11.136414801705,0.404947794517731,1.43700224304556,1.8356405339115172,5.650427245844035,7.851151078351384,-10.327283418421052,12.085593061578946,15.746510497939166,6.43516581573491,53.24658693161538
Addis_Ababa,diagnostic,later_period,2023Q2,ftir_CalibrationSetId,11,28,1.90446116072198,9.84021969992934,0.409759055442694,0.419307645387154,5.136941337079863,5.476509233939008,6.743382380539132,-8.917793117499999,10.826554678214285,14.023730097936928,5.350045444275277,49.41595552129706
