site,population,scheme,ftir_CalibrationSetId,n,reported_date_min,reported_date_max,ec_min,ec_max,mean_signed_error,mae,mdl_min,mdl_max
Addis_Ababa,diagnostic,leave_quarter_out,17,34,2022-12-07,2023-03-22,0.693114797533127,5.1807562461787,-3.177928428038451,4.855694879211463,0.449217327399301,0.48736741889818
Addis_Ababa,diagnostic,leave_quarter_out,11,156,2023-03-29,2024-09-21,1.90446116072198,11.7351130556244,0.7226978746053935,3.738512331064387,0.404947794517731,1.43700224304556
Addis_Ababa,diagnostic,later_period,11,155,2023-04-01,2024-09-21,1.90446116072198,11.7351130556244,2.2564780155427027,4.2744215025234915,0.404947794517731,1.43700224304556
Addis_Ababa,ratio_baseline,leave_quarter_out,17,34,2022-12-07,2023-03-22,0.693114797533127,5.1807562461787,-3.177928428038451,4.855694879211463,0.449217327399301,0.48736741889818
Addis_Ababa,ratio_baseline,leave_quarter_out,11,156,2023-03-29,2024-09-21,1.90446116072198,11.7351130556244,0.7226978746053935,3.738512331064387,0.404947794517731,1.43700224304556
Addis_Ababa,ratio_baseline,later_period,11,155,2023-04-01,2024-09-21,1.90446116072198,11.7351130556244,2.2564780155427027,4.2744215025234915,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_1_5x,leave_quarter_out,17,33,2022-12-07,2023-03-22,1.62566803465763,5.1807562461787,-3.057134672178606,4.757496888532827,0.449217327399301,0.48736741889818
Addis_Ababa,mdl_1_5x,leave_quarter_out,11,156,2023-03-29,2024-09-21,1.90446116072198,11.7351130556244,0.697441045121284,3.7312099661942377,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_1_5x,later_period,11,155,2023-04-01,2024-09-21,1.90446116072198,11.7351130556244,2.4287412402933417,4.446121443281174,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_2x,leave_quarter_out,17,33,2022-12-07,2023-03-22,1.62566803465763,5.1807562461787,-3.057134672178606,4.757496888532827,0.449217327399301,0.48736741889818
Addis_Ababa,mdl_2x,leave_quarter_out,11,156,2023-03-29,2024-09-21,1.90446116072198,11.7351130556244,0.697441045121284,3.7312099661942377,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_2x,later_period,11,155,2023-04-01,2024-09-21,1.90446116072198,11.7351130556244,2.4287412402933417,4.446121443281174,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_3x,leave_quarter_out,17,33,2022-12-07,2023-03-22,1.62566803465763,5.1807562461787,-3.057134672178606,4.757496888532827,0.449217327399301,0.48736741889818
Addis_Ababa,mdl_3x,leave_quarter_out,11,156,2023-03-29,2024-09-21,1.90446116072198,11.7351130556244,0.697441045121284,3.7312099661942377,0.404947794517731,1.43700224304556
Addis_Ababa,mdl_3x,later_period,11,155,2023-04-01,2024-09-21,1.90446116072198,11.7351130556244,2.4287412402933417,4.446121443281174,0.404947794517731,1.43700224304556
