site,n,median,p25,p75,network,ratio
MORA1,2418,11.15410800238496,8.2253135340968,14.426592003239497,IMPROVE,Fabs_EC
PMRF1,2561,11.196451344607707,8.906666666666666,13.946015424164525,IMPROVE,Fabs_EC
OLYM1,2475,11.19800924280128,7.957090309037364,15.596496657382541,IMPROVE,Fabs_EC
GLAC1,2482,11.20263018684155,9.12426727756747,13.42282896863081,IMPROVE,Fabs_EC
CRLA1,2335,11.214953271028037,7.985630564988101,15.171895251186914,IMPROVE,Fabs_EC
LASU2,2087,11.233053582956746,9.263047646341523,13.320249171237641,IMPROVE,Fabs_EC
LAVO1,2277,11.234866828087167,7.894454713493531,15.12367491166078,IMPROVE,Fabs_EC
CACR1,2474,11.238492677531298,9.222090098955771,13.837959264716451,IMPROVE,Fabs_EC
BOND1,2568,11.247165901628742,9.40062863011141,13.15763844227881,IMPROVE,Fabs_EC
CABA1,2512,11.260838476278002,9.151941559660784,13.52773114659999,IMPROVE,Fabs_EC
ACAD1,2543,11.279908849221423,8.649150723038197,14.79920409177988,IMPROVE,Fabs_EC
NOCH1,2300,11.290604385166507,8.004715925783385,15.223747472433836,IMPROVE,Fabs_EC
DOSO1,2598,11.2923151547846,9.21105707345798,13.806813398115121,IMPROVE,Fabs_EC
BALA1,613,11.330506228465412,8.34403080872914,14.489990467111536,IMPROVE,Fabs_EC
SIPS1,2372,11.346182989957965,9.332213636802123,13.626118507270453,IMPROVE,Fabs_EC
CRMO1,2314,11.44601463832166,8.25228554755884,16.481879368729714,IMPROVE,Fabs_EC
JARI1,2582,11.499037030951925,9.604120701986657,13.575799074220692,IMPROVE,Fabs_EC
VILA1,2305,11.499647969960103,9.429228517666736,13.59506138586391,IMPROVE,Fabs_EC
UPBU1,2411,11.505321844906234,9.374013741234016,14.11674596677496,IMPROVE,Fabs_EC
MAKA2,1021,11.518093556928507,7.076923076923077,18.18181818181818,IMPROVE,Fabs_EC
ROMO1,2412,11.518541948307885,8.32883304276339,15.356945634854435,IMPROVE,Fabs_EC
LTCC1,1217,11.54621965639563,9.470344913382888,14.067749160134376,IMPROVE,Fabs_EC
HOOV1,2148,11.547142740660199,7.918224903828131,16.904649475573677,IMPROVE,Fabs_EC
OMAH1,513,11.549217002237137,9.193408499566349,13.5000901306895,IMPROVE,Fabs_EC
MOOS1,2394,11.596967378920581,8.729007676024874,15.171044435280697,IMPROVE,Fabs_EC
SEQU1,2503,11.609782316581565,9.0933935397845,14.445098442332021,IMPROVE,Fabs_EC
FOCO1,522,11.6179595938431,9.904241175311997,13.730173070729998,IMPROVE,Fabs_EC
SHRO1,2206,11.639862405185983,9.11298647989196,14.690315470159057,IMPROVE,Fabs_EC
GICL1,2305,11.66294100495675,8.274340351199779,16.188870151770658,IMPROVE,Fabs_EC
HEGL1,2569,11.70423092131277,9.771402958314656,13.896457765667574,IMPROVE,Fabs_EC
MING1,2078,11.704545842333903,9.797719716427391,13.905066930969252,IMPROVE,Fabs_EC
MOHO1,2109,11.740534194305841,8.00468566966029,16.395418927064497,IMPROVE,Fabs_EC
HOUS1,155,11.766047381546134,10.136086833559284,14.709616996856335,IMPROVE,Fabs_EC
WICA1,2441,11.78413258110014,8.653846153846153,15.460729746444033,IMPROVE,Fabs_EC
WIMO1,2326,11.806848888090283,9.439647726297636,14.926821892185863,IMPROVE,Fabs_EC
FRRE1,2427,11.820330969267138,9.988177906488499,14.0075849291951,IMPROVE,Fabs_EC
BAND1,2496,11.82130298355827,9.107774566833996,15.403732572012412,IMPROVE,Fabs_EC
PENO1,2087,11.822449850618865,9.696737701268205,14.236218300451569,IMPROVE,Fabs_EC
COHU1,2272,11.836292020320357,9.754259100379947,14.373105649684083,IMPROVE,Fabs_EC
BOLA1,1642,11.848916309651111,7.98484806839821,17.11824966305452,IMPROVE,Fabs_EC
GRBA1,2329,11.856243052982586,7.807308970099668,16.816816816816818,IMPROVE,Fabs_EC
BRIG1,2402,11.860144816901938,9.787425578220438,14.356388000678617,IMPROVE,Fabs_EC
HILL1,266,11.865207336920419,8.317949865431558,16.41044010840374,IMPROVE,Fabs_EC
BLIS1,1833,11.896178803172315,9.080536529680366,15.671981776765376,IMPROVE,Fabs_EC
GRRI1,2564,11.909810818921603,9.84795844046251,14.326410903242651,IMPROVE,Fabs_EC
FOPE1,2161,11.914217633042096,8.869842535379709,15.357222345871355,IMPROVE,Fabs_EC
CHER1,853,11.921708185053381,9.94550408719346,14.443462897526503,IMPROVE,Fabs_EC
SAFO1,959,11.933937133724028,9.893315174214052,14.112816255403587,IMPROVE,Fabs_EC
JARB1,2223,11.934011934011934,7.732704170660375,17.31485927880387,IMPROVE,Fabs_EC
