network,x,y,n,slope,intercept,r_squared,correlation
IMPROVE,EC mass on filter (µg),filter optical depth tau (–),152029,0.011234000147583507,0.10814428506780711,0.4585982384374932,0.6771988175104068
SPARTAN,EC mass on filter (µg),filter optical depth tau (–),541,0.019281551886878093,0.141042923477058,0.8179718269080979,0.9044179492403376
