network,x,y,n,slope,intercept,r_squared,correlation
IMPROVE,EC mass on filter (µg),fAbs (Mm⁻¹),152029,0.1362221723000874,1.2125541533797768,0.4214364533771673,0.6491813717114557
SPARTAN,EC mass on filter (µg),fAbs (Mm⁻¹),541,1.064913173206942,6.805395324574812,0.7889105857335168,0.8882063869020065
IMPROVE,EC mass on filter (µg),OC mass on filter (µg),169630,3.634545777896484,11.50633890278723,0.320613290207867,0.566227242551846
SPARTAN,EC mass on filter (µg),OC mass on filter (µg),541,1.1633988784150502,10.827085956498985,0.8700920728366149,0.9327872602242244
IMPROVE,Fe mass on filter (µg),fAbs (Mm⁻¹),158953,0.4607440985561688,1.4145744127149624,0.13461295371311727,0.36689638007633335
SPARTAN,Fe mass on filter (µg),fAbs (Mm⁻¹),493,4.030631630906764,19.139247077882978,0.11601743681761599,0.34061332448630954
IMPROVE,PM₂.₅ mass on filter (µg),fAbs (Mm⁻¹),159152,0.011443284278889904,0.5164504863688522,0.4985477687833416,0.7060791519251518
SPARTAN,PM₂.₅ mass on filter (µg),fAbs (Mm⁻¹),493,0.10087726442392063,13.190208749887871,0.23305080732432745,0.48275336075922604
