site,population,scheme,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,intercept_better_blocks,largest_test_block,largest_test_block_n,largest_test_block_fraction,weighting,median_mean_signed_error,median_mae,median_rmse,median_nonpositive_prediction_n,proportional_mean_signed_error,proportional_mae,proportional_rmse,proportional_nonpositive_prediction_n,ols_mean_signed_error,ols_mae,ols_rmse,ols_nonpositive_prediction_n,delta_mae_proportional_minus_ols,intercept_mae_improvement_pct
Addis_Ababa,diagnostic,leave_quarter_out,190,8,8,0,8,2024Q1,31,0.1631578947368421,equal_filter,-1.6144466938421065,8.887553851789475,11.187595398001243,0,-4.441449589831515,11.575796125661451,13.372176390662426,0,0.02469106255333712,3.938429208101232,5.273568663625288,0,7.63736691756022,65.97703375778669
Addis_Ababa,diagnostic,leave_quarter_out,190,8,8,0,8,2024Q1,31,0.1631578947368421,equal_quarter,-1.6840533639451034,8.918002383961136,11.297410393996188,0,-5.099957754414782,12.278793715233173,14.079599444104991,0,-0.33331099002412823,4.169887792201764,5.568084637161412,0,8.108905923031408,66.03992306647706
Addis_Ababa,diagnostic,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_filter,-4.210883619419355,9.332029524064515,12.01029436712477,0,4.2986574779738875,13.11022277741984,17.320706346064597,0,2.2564780155427027,4.2744215025234915,5.686700583348801,0,8.83580127489635,67.39627102381917
Addis_Ababa,diagnostic,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_quarter,-4.716575904498026,9.549600712262153,12.301122749065655,0,4.555778454170846,13.094628744927471,17.189327320734147,0,2.130116969934257,4.331962711748933,5.795262551064404,0,8.762666033178537,66.91801809633566
Addis_Ababa,ratio_baseline,leave_quarter_out,190,8,8,0,8,2024Q1,31,0.1631578947368421,equal_filter,-1.6144466938421065,8.887553851789475,11.187595398001243,0,-4.441449589831515,11.575796125661451,13.372176390662426,0,0.02469106255333712,3.938429208101232,5.273568663625288,0,7.63736691756022,65.97703375778669
Addis_Ababa,ratio_baseline,leave_quarter_out,190,8,8,0,8,2024Q1,31,0.1631578947368421,equal_quarter,-1.6840533639451034,8.918002383961136,11.297410393996188,0,-5.099957754414782,12.278793715233173,14.079599444104991,0,-0.33331099002412823,4.169887792201764,5.568084637161412,0,8.108905923031408,66.03992306647706
Addis_Ababa,ratio_baseline,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_filter,-4.210883619419355,9.332029524064515,12.01029436712477,0,4.2986574779738875,13.11022277741984,17.320706346064597,0,2.2564780155427027,4.2744215025234915,5.686700583348801,0,8.83580127489635,67.39627102381917
Addis_Ababa,ratio_baseline,later_period,155,6,8,2,6,2024Q1,31,0.2,equal_quarter,-4.716575904498026,9.549600712262153,12.301122749065655,0,4.555778454170846,13.094628744927471,17.189327320734147,0,2.130116969934257,4.331962711748933,5.795262551064404,0,8.762666033178537,66.91801809633566
Addis_Ababa,mdl_1_5x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_filter,-1.6405096646560868,8.876834325026456,11.181208082477426,0,-4.313818870352276,11.461974292530105,13.192287794546722,0,0.04188020559273178,3.9104029208882767,5.247044866550814,0,7.551571371641828,65.88368791372417
Addis_Ababa,mdl_1_5x,leave_quarter_out,189,8,8,0,8,2024Q1,31,0.164021164021164,equal_quarter,-1.6788499848624119,8.895797172933879,11.276769268535057,0,-5.038849677201975,12.194425595177117,13.942158446814895,0,-0.3379034278074253,4.150321993310376,5.553828982444005,0,8.044103601866741,65.96541623943465
