site,population,scheme,training_choice,evaluated_filters,evaluated_blocks,nonempty_blocks,unavailable_nonempty_blocks,intercept_better_blocks,largest_test_block,largest_test_block_n,largest_test_block_fraction,weighting,median_mean_signed_error,median_mae,median_rmse,median_nonpositive_prediction_n,proportional_mean_signed_error,proportional_mae,proportional_rmse,proportional_nonpositive_prediction_n,ols_mean_signed_error,ols_mae,ols_rmse,ols_nonpositive_prediction_n,delta_mae_proportional_minus_ols,intercept_mae_improvement_pct
Addis_Ababa,diagnostic,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-3.1731397930708667,9.002527915275593,11.51913550302292,0,0.3437378332468291,10.833161974556933,12.834067867459094,0,1.6214152359912024,4.009394286148416,5.426116184950294,0,6.823767688408517,62.98962116910103
Addis_Ababa,diagnostic,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.8763324618976327,9.294209919071728,11.92678262957535,0,1.019525543122119,11.02589049583193,13.108607817263941,0,1.5287520965051358,4.103053407310918,5.586362005535469,0,6.922837088521012,62.78710178681733
Addis_Ababa,diagnostic,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-1.0848543148818905,9.671403715984253,11.835378790535446,0,-3.24438577423257,9.968099764452628,11.803773509487158,0,0.6193180563720898,3.8843652481229842,5.218135434844782,0,6.083734516329644,61.03203880467699
Addis_Ababa,diagnostic,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.849200011897634,9.921354152482177,12.198071363836608,0,-2.4807772915739017,10.103782883452514,12.012828734940507,0,0.5903427455889079,3.9911385176645076,5.414310134595863,0,6.112644365788006,60.49857203284721
Addis_Ababa,ratio_baseline,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-3.1731397930708667,9.002527915275593,11.51913550302292,0,0.3437378332468291,10.833161974556933,12.834067867459094,0,1.6214152359912024,4.009394286148416,5.426116184950294,0,6.823767688408517,62.98962116910103
Addis_Ababa,ratio_baseline,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.8763324618976327,9.294209919071728,11.92678262957535,0,1.019525543122119,11.02589049583193,13.108607817263941,0,1.5287520965051358,4.103053407310918,5.586362005535469,0,6.922837088521012,62.78710178681733
Addis_Ababa,ratio_baseline,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-1.0848543148818905,9.671403715984253,11.835378790535446,0,-3.24438577423257,9.968099764452628,11.803773509487158,0,0.6193180563720898,3.8843652481229842,5.218135434844782,0,6.083734516329644,61.03203880467699
Addis_Ababa,ratio_baseline,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.849200011897634,9.921354152482177,12.198071363836608,0,-2.4807772915739017,10.103782883452514,12.012828734940507,0,0.5903427455889079,3.9911385176645076,5.414310134595863,0,6.112644365788006,60.49857203284721
Addis_Ababa,mdl_1_5x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-3.0617831427165356,9.018631696574806,11.51120102266885,0,0.29740619992496753,10.818915722499352,12.811264198841181,0,1.6001576565459124,4.002130624479514,5.411438225542934,0,6.816785098019838,63.00802476761549
Addis_Ababa,mdl_1_5x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.7658807998976345,9.306072410939825,11.914633236720865,0,0.974173059756852,11.010904072306047,13.085622746030802,0,1.5138781138670439,4.097612904173992,5.574876560241057,0,6.913291168132055,62.78586320191402
Addis_Ababa,mdl_1_5x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-1.0848543148818905,9.671403715984253,11.835378790535446,0,-3.24438577423257,9.968099764452628,11.803773509487158,0,0.6193180563720898,3.8843652481229842,5.218135434844782,0,6.083734516329644,61.03203880467699
Addis_Ababa,mdl_1_5x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.849200011897634,9.921354152482177,12.198071363836608,0,-2.4807772915739017,10.103782883452514,12.012828734940507,0,0.5903427455889079,3.9911385176645076,5.414310134595863,0,6.112644365788006,60.49857203284721
Addis_Ababa,mdl_2x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-3.0617831427165356,9.018631696574806,11.51120102266885,0,0.29740619992496753,10.818915722499352,12.811264198841181,0,1.6001576565459124,4.002130624479514,5.411438225542934,0,6.816785098019838,63.00802476761549
Addis_Ababa,mdl_2x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.7658807998976345,9.306072410939825,11.914633236720865,0,0.974173059756852,11.010904072306047,13.085622746030802,0,1.5138781138670439,4.097612904173992,5.574876560241057,0,6.913291168132055,62.78586320191402
Addis_Ababa,mdl_2x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-1.0848543148818905,9.671403715984253,11.835378790535446,0,-3.24438577423257,9.968099764452628,11.803773509487158,0,0.6193180563720898,3.8843652481229842,5.218135434844782,0,6.083734516329644,61.03203880467699
Addis_Ababa,mdl_2x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.849200011897634,9.921354152482177,12.198071363836608,0,-2.4807772915739017,10.103782883452514,12.012828734940507,0,0.5903427455889079,3.9911385176645076,5.414310134595863,0,6.112644365788006,60.49857203284721
Addis_Ababa,mdl_3x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-3.0617831427165356,9.018631696574806,11.51120102266885,0,0.29740619992496753,10.818915722499352,12.811264198841181,0,1.6001576565459124,4.002130624479514,5.411438225542934,0,6.816785098019838,63.00802476761549
Addis_Ababa,mdl_3x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.7658807998976345,9.306072410939825,11.914633236720865,0,0.974173059756852,11.010904072306047,13.085622746030802,0,1.5138781138670439,4.097612904173992,5.574876560241057,0,6.913291168132055,62.78586320191402
Addis_Ababa,mdl_3x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-1.0848543148818905,9.671403715984253,11.835378790535446,0,-3.24438577423257,9.968099764452628,11.803773509487158,0,0.6193180563720898,3.8843652481229842,5.218135434844782,0,6.083734516329644,61.03203880467699
Addis_Ababa,mdl_3x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.849200011897634,9.921354152482177,12.198071363836608,0,-2.4807772915739017,10.103782883452514,12.012828734940507,0,0.5903427455889079,3.9911385176645076,5.414310134595863,0,6.112644365788006,60.49857203284721
Addis_Ababa,mdl_5x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-2.523717616496063,9.022427603346458,11.408667096229943,0,-0.12022665936833069,10.69661479531858,12.621640109227174,0,1.7138625624743058,4.053736268229002,5.473837908725089,0,6.642878527089577,62.10262456115426
Addis_Ababa,mdl_5x,later_period,all_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-3.2379448708976333,9.295101562189807,11.801329156814894,0,0.564840416671022,10.881171734291836,12.892556092433006,0,1.6160399158230452,4.144600633702156,5.628613558255091,0,6.73657110058968,61.91034628522115
Addis_Ababa,mdl_5x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_filter,-0.7316061703937008,9.659246288976378,11.81228121751658,0,-3.3135241521514267,9.960860007828304,11.797884845732826,0,0.7165866043490086,3.8868545005760975,5.229996070775248,0,6.074005507252206,60.978725757400525
Addis_Ababa,mdl_5x,later_period,id11_earlier,127,5,7,2,5,2024Q1,31,0.2440944881889764,equal_quarter,-1.5121698638976337,9.90808877682509,12.17415480198862,0,-2.5478113718319797,10.095025703568945,12.004804467955667,0,0.6794100382322401,3.991618118514473,5.422537713362061,0,6.103407585054472,60.459554678466084
