spectra,n_usable,center_p25,center_median,center_p75,r_heights_1600_vs_1520_1560,spearman_CHnorm_1600_vs_1520_1560,n_normalized
AIRSpec df1=6,156,1617.36861496623,1618.6542815918,1619.93994821737,-0.6198407581385499,-0.2933192141739501,156
AIRSpec df1=8,156,1617.36861496623,1618.6542815918,1619.93994821737,-0.6198407581385499,-0.29228556526686783,156
