model,n_train_pool,k,heldout_tau_R2,heldout_tau_slope,addis_n,addis_median_Fabs_predicted,addis_median_Fabs_observed,addis_slope,addis_intercept,addis_R2,addis_RMSE,addis_MAE,addis_bias,addis_median_bias
"IMPROVE HIPS tau, AIRSpec df1=6",916,16,0.5834624102138015,0.627204221575534,239,12.464157781886085,47.1102703151104,0.36484231593559996,-4.130985317062773,0.6646701741209624,35.87448855877716,35.0538133574927,-35.0538133574927,-34.706730721594916
"IMPROVE HIPS tau, AIRSpec df1=8",916,16,0.5748658292723197,0.6218431662329887,239,12.441002583964131,47.1102703151104,0.35287757208028053,-3.6568915091211767,0.6567386932532153,36.00323612685188,35.16222642314867,-35.16222642314867,-34.68755168778685
