Pair,Source,Method,Threshold,n,R_squared,Slope,p_value
Aeth vs EC,Wood Burning,K_F (Concentration),≥30%,21,0.6151485792403399,0.966635627664177,2.5732409110935196e-05
Aeth vs EC,Wood Burning,K_F (Concentration),≥40%,16,0.6830443207122927,1.0840425294129288,7.925223598237972e-05
Aeth vs EC,Wood Burning,K_F (Concentration),≥50%,7,0.7827599972187773,1.4502122138311366,0.008134269970576357
Aeth vs EC,Fossil Fuel,GF (Fraction),All,23,0.6893617993883092,1.1538329653110146,9.483205245780678e-07
Aeth vs EC,Fossil Fuel,GF (Fraction),≥30%,23,0.6893617993883092,1.1538329653110146,9.483205245780678e-07
Aeth vs EC,Fossil Fuel,GF (Fraction),≥40%,18,0.7316507733252309,1.2936047772042094,6.0543572080128366e-06
Aeth vs EC,Fossil Fuel,GF (Fraction),≥50%,10,0.6026432861042583,1.4058474653233126,0.00828000706037044
Aeth vs EC,Fossil Fuel,GF (Fraction),≥60%,5,0.9450941562650435,2.0453449910077204,0.00555298696149452
Aeth vs EC,Fossil Fuel,K_F (Concentration),All,13,0.39704097412662304,1.215350458224449,0.02097850155478297
Aeth vs EC,Fossil Fuel,K_F (Concentration),≥30%,12,0.5059009482255509,1.2766100261878655,0.00949457272430995
Aeth vs EC,Fossil Fuel,K_F (Concentration),≥40%,6,0.003842535821512277,0.06708427473663037,0.9071368094456587
Aeth vs EC,Fossil Fuel,K_F (Concentration),≥50%,4,0.12827493248015479,0.6533872344100954,0.641845099879738
Aeth vs EC,Polluted Marine,GF (Fraction),All,22,0.47690080555320047,0.6993684888420019,0.0003741180361644531
Aeth vs EC,Polluted Marine,GF (Fraction),≥30%,22,0.47690080555320047,0.6993684888420019,0.0003741180361644531
Aeth vs EC,Polluted Marine,GF (Fraction),≥40%,18,0.5039957017689896,0.7388443397303714,0.0009647105781229246
Aeth vs EC,Polluted Marine,GF (Fraction),≥50%,6,0.03069592725434762,0.1909505963497867,0.7398852039396524
Aeth vs EC,Polluted Marine,K_F (Concentration),All,20,0.25575424103569805,0.6018566234681293,0.022914833409224365
Aeth vs EC,Polluted Marine,K_F (Concentration),≥30%,20,0.25575424103569805,0.6018566234681293,0.022914833409224365
Aeth vs EC,Polluted Marine,K_F (Concentration),≥40%,9,0.2462241353174712,0.5401622127446291,0.17425581590494046
Aeth vs EC,Polluted Marine,K_F (Concentration),≥50%,3,0.3043758780543613,-1.2194455053534479,0.6279566172298361
