date,ir_bcc,hips_fabs,ftir_ec,iron,base_filter_id,charcoal_frac,wood_frac,fossil_fuel_frac,polluted_marine_frac,sea_salt_frac,Month,Ethiopian_Season,dominant_source,dominant_fraction
2023-07-21,8.203639392608116,4.691845275,5.41096860602627,340.47,ETAD-0097,0.16531713900134953,0.31106612685560053,0.3076923076923077,0.08232118758434548,0.13360323886639677,7,Kiremt Rainy Season,wood,0.31106612685560053
2023-08-25,6.804240497498681,5.579278935,6.4862970153617,260.88,ETAD-0108,0.517698213193831,0.11957334058020243,0.21400910387933958,0.06719206467830692,0.08152727766831984,8,Kiremt Rainy Season,charcoal,0.517698213193831
2023-01-03,6.477420531678097,5.154904161999999,4.42920671041816,242.88,ETAD-0035,0.5425522374674917,0.07219083490269931,0.03282216841538876,0.15783337817236123,0.194601381042059,1,Dry Season,charcoal,0.5425522374674917
2023-01-06,4.518570249297377,3.931989393,2.724983051266,159.34,ETAD-0036,0.27340546029762136,0.2538764988477913,0.0009394458297444584,0.3494656259443281,0.12231296908051484,1,Dry Season,polluted_marine,0.3494656259443281
2023-01-09,4.155255853887566,3.840337655,0.693114797533127,236.5,ETAD-0037,0.053841163932907055,0.21128718376424802,0.09730330831248264,0.4123806876100454,0.22518765638031693,1,Dry Season,polluted_marine,0.4123806876100454
2023-01-12,5.385594097287204,3.441728856,1.99148840812713,118.45,ETAD-0038,1.5142729090995386e-06,0.25382098285858934,1.4998512623462095e-06,0.6691644093544626,0.07701159366277653,1,Dry Season,polluted_marine,0.6691644093544626
2023-01-15,5.248053885658427,3.853606811,2.42256663763913,213.94,ETAD-0040,0.041019569607911414,0.1274462009889268,0.3677136290828052,0.3544815098544467,0.10933909046590988,1,Dry Season,fossil_fuel,0.3677136290828052
2023-01-21,5.216565931184082,5.52923219,3.5661747421249,710.4,ETAD-0001,0.014339064261555807,0.06552987598647125,0.04861894024802706,0.23816234498308905,0.633349774520857,1,Dry Season,sea_salt,0.633349774520857
2023-01-24,6.168425831606862,4.4160319800000005,2.71155499490423,356.8,ETAD-0002,0.012825851586574497,0.10410593820271508,0.051886399600233196,0.4014324977096693,0.4297493129008078,1,Dry Season,sea_salt,0.4297493129008078
2023-01-27,4.146431087526767,3.751247408,2.2102943453252,198.24,ETAD-0003,3.7069128163517244e-06,0.21754183194552376,0.03672106123240441,0.4899042055413195,0.25582919436793594,1,Dry Season,polluted_marine,0.4899042055413195
2023-01-30,5.296508029823206,4.0993997030000005,2.42810461321138,252.37,ETAD-0004,8.337123636764492e-06,0.17832181111968495,0.06669698909411594,0.4454185498530659,0.30955431280949636,1,Dry Season,polluted_marine,0.4454185498530659
2023-02-02,5.603285823906103,4.624278089,2.76280400688534,358.21,ETAD-0005,0.03141153081510935,0.147117296222664,0.09224652087475148,0.3562624254473161,0.37296222664015904,2,Dry Season,sea_salt,0.37296222664015904
2023-02-05,3.993471090982865,4.112646536,2.86886282436538,381.77,ETAD-0006,0.02174678020972623,0.12245759729748751,0.08023083960869871,0.24350763600534872,0.5320571468787388,2,Dry Season,sea_salt,0.5320571468787388
2023-02-08,4.313792927364156,4.186629355,2.24464531979329,268.26,ETAD-0008,1.3762813970238175e-06,0.04478494059504531,0.25070639502541975,0.5847336097625517,0.11977367833558628,2,Dry Season,polluted_marine,0.5847336097625517
2023-02-10,4.186443070338042,4.660169395,3.26081014809693,479.16,ETAD-0041,0.08135168961201503,0.04463913224864414,0.10471422611597832,0.3579474342928661,0.41134751773049644,2,Dry Season,sea_salt,0.41134751773049644
2023-02-13,4.53041397964573,3.6992325370000003,2.31740999208569,278.87,ETAD-0042,0.05924824803567637,0.07361789481135414,0.04813477737665463,0.4799320450201741,0.3390670347561407,2,Dry Season,polluted_marine,0.4799320450201741
2023-02-16,4.930549184717401,5.475013785,3.71219914354587,573.46,ETAD-0043,0.00456060340291177,0.0942817049640414,0.0486756709349237,0.37274162427644275,0.4797403964216804,2,Dry Season,sea_salt,0.4797403964216804
2023-02-19,3.051877020842267,5.036225026,3.93445638960004,544.16,ETAD-0044,0.10610713067212554,0.1719549641760491,0.044353462981917426,0.3149095871716137,0.3626748549982941,2,Dry Season,sea_salt,0.3626748549982941
2023-02-22,4.534636561219038,4.796136512,3.29152319296722,242.41,ETAD-0045,0.08018593840790238,0.10749564206856478,0.14991284137129576,0.47646717024985474,0.18593840790238234,2,Dry Season,polluted_marine,0.47646717024985474
2023-02-25,5.391051526801351,3.509620175,2.70476257603748,227.49,ETAD-0046,6.421557358247381e-07,0.29754849743940154,0.4416658915863275,0.26078385607538984,1.1127431452840882e-06,2,Dry Season,fossil_fuel,0.4416658915863275
2023-03-04,5.693409822329243,3.2095956219999997,2.76399830754091,192.61,ETAD-0049,1.3480051597489807e-05,0.17433335960215182,0.49513266444626014,0.25923176149018856,0.07128873440980185,3,Belg Rainy Season,fossil_fuel,0.49513266444626014
2023-03-07,5.810066080441554,3.983758222,3.550943879762,258.77,ETAD-0050,5.447246689160963e-06,0.12243811365545285,0.4142905968178384,0.32083783251755393,0.14242800976246556,3,Belg Rainy Season,fossil_fuel,0.4142905968178384
2023-03-10,7.32585505245205,4.529096314,5.1807562461787,107.91,ETAD-0051,0.0744037521752288,0.3929956530314157,0.5308438014803436,0.0017552093436043617,1.5839694076429608e-06,3,Belg Rainy Season,fossil_fuel,0.5308438014803436
2023-03-13,7.618853952175878,4.986876401,4.96930590471469,179.8,ETAD-0052,0.3579519286090067,0.3882547373801396,0.022727106578349632,0.23105891687988794,7.310552616035798e-06,3,Belg Rainy Season,wood,0.3882547373801396
2023-03-16,7.1733334884914655,4.715398748,4.06386607365533,201.11,ETAD-0053,0.36366815281056036,0.1783372672436402,0.04362269429145904,0.1897018970189702,0.22466998863537024,3,Belg Rainy Season,charcoal,0.36366815281056036
2023-03-19,7.3632213930949435,4.316446055,4.64051405979548,122.09,ETAD-0054,0.13557458057134744,0.5889359780019333,7.223413652841392e-07,0.275487547720978,1.1713643761364418e-06,3,Belg Rainy Season,wood,0.5889359780019333
2023-03-22,8.924880665725452,4.132099888,3.54801381482197,525.16,ETAD-0056,0.14908256880733944,0.2652905198776759,0.17813455657492355,0.19686544342507645,0.21062691131498473,3,Belg Rainy Season,wood,0.2652905198776759
2023-03-29,8.118148549353648,6.251225338999999,6.63401511944448,276.49,ETAD-0057,0.5859084404690282,0.10352247291722706,1.667862063666436e-06,0.07189060619251879,0.2386768125591624,3,Belg Rainy Season,charcoal,0.5859084404690282
2023-04-01,5.737046830830531,4.193236144,3.60418278532791,151.59,ETAD-0058,0.37740200652066797,0.23587625407541749,0.010368071790248352,0.2526496765874472,0.12370399102621896,4,Belg Rainy Season,charcoal,0.37740200652066797
2023-04-04,8.218216487922682,4.4816158139999995,3.3060189975723,235.76,ETAD-0059,0.12234042553191489,0.2574468085106383,0.019148936170212766,0.2170212765957447,0.3840425531914894,4,Belg Rainy Season,sea_salt,0.3840425531914894
2023-04-07,5.598785698935947,4.024244465000001,2.96965039302822,288.82,ETAD-0060,0.025456936036596333,0.21957700842562475,6.062424973663663e-06,0.2353235667987771,0.5196364263140283,4,Belg Rainy Season,sea_salt,0.5196364263140283
2023-04-10,3.810538133889919,4.0794263719999995,2.7330819375566,184.26,ETAD-0061,4.1034253532790604e-06,0.23333202989233875,1.4827503377394925e-06,0.3827564825327528,0.38390590139921743,4,Belg Rainy Season,sea_salt,0.38390590139921743
2023-04-13,4.378218493894228,3.9687370360000003,3.7592474421959,282.61,ETAD-0062,0.11237373737373736,0.12058080808080807,0.3169191919191919,0.2569444444444444,0.19318181818181815,4,Belg Rainy Season,fossil_fuel,0.3169191919191919
2023-04-16,3.6838202345008977,3.0340733109999998,1.90446116072198,107.86,ETAD-0064,5.950993721131007e-06,0.3257980739733114,1.1167529356426224e-06,0.46704001355711694,0.20715484472291476,4,Belg Rainy Season,polluted_marine,0.46704001355711694
2023-04-21,5.345001779927344,4.011375228,4.3354716491761,266.34,ETAD-0065,0.15436654366543665,0.31549815498154976,0.30381303813038124,0.1186961869618696,0.10762607626076261,4,Belg Rainy Season,wood,0.31549815498154976
