Variable,n,Mean,Std,Median,Min,Max
ftir_ec,102,4.917276765058937,2.3042044134750563,4.020430271403095,0.693114797533127,10.5333537907337
hips_fabs,102,4.836713464970589,1.0069018582699505,4.652233962,3.0340733109999998,7.41917105
ir_bcc,97,7.746838386201385,3.1470726542886847,6.831395649043693,3.051877020842267,18.125311627104
