Method_Pair,Prefix,Dominance_Method,Source,Threshold,Low_n,Low_R2,Low_Slope,High_n,High_R2,High_Slope,Residual_Corr
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Wood Burning,0.7,23,0.4142367782785265,1.9885151526761808,0,,,0.34104646079613155
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Fossil Fuel,0.3,0,,,23,0.5515239126980859,2.183330805329888,-0.11603172450616359
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Fossil Fuel,0.3,1,,,12,0.06655718275544749,0.8189389871985314,-0.11809235134811068
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Fossil Fuel,0.4,5,0.585373713487703,2.1372110758253537,18,0.5596005679597843,2.4008979732420257,-0.11603172450616359
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Fossil Fuel,0.4,7,0.26861586365561274,2.6742694843431325,6,0.009130263101221378,-0.1114209304865399,-0.11809235134811068
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Fossil Fuel,0.5,13,0.7227416990878563,2.1303194482135477,10,0.27382479895240985,2.503885198382328,-0.11603172450616359
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Fossil Fuel,0.5,9,0.13244328075789896,1.3950983036424291,4,0.02364102296298655,-0.31681055270699615,-0.11809235134811068
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Fossil Fuel,0.6,18,0.6064534313715891,1.9183935141362782,5,0.7293073884814015,5.2861230543922195,-0.11603172450616359
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Fossil Fuel,0.6,11,0.08696246562118837,1.0977988144777446,2,,,-0.11809235134811068
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Fossil Fuel,0.7,21,0.5546702159880462,2.160529887499029,2,,,-0.11603172450616359
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Fossil Fuel,0.7,12,0.05541415220375642,0.8090380202646702,1,,,-0.11809235134811068
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Polluted Marine,0.3,0,,,22,0.49281921585459243,1.0650582928706798,0.023793450473717243
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Polluted Marine,0.3,0,,,20,0.14812974816320548,0.5295007199726229,0.08344206521175422
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,GF,Polluted Marine,0.4,4,0.4536235039588545,1.4560415006757563,18,0.47894721330947293,1.0410563670608552,0.023793450473717243
Aeth IR BCc vs HIPS Fabs/MAC,aeth_ir_vs_hips,KF,Polluted Marine,0.4,11,0.05446095995304804,0.42038000122867,9,0.08281448862861836,0.4225445066067545,0.08344206521175422
