MediaId,EC_regular,EC_smoke,ExternalFilterId,Fabs,EC_hips,EC_reported
401,3.150898694544906,2.9614185769033043,ETAD-0017-1,40.2377205260696,4.02377205260696,2.54716121453745
402,3.1516929775063818,1.7904066197770587,ETAD-0018-2,45.5123583669101,4.55123583669101,2.7840995254895
403,3.594597381181078,2.8196165591737254,ETAD-0019-3,47.9573741418564,4.7957374141856395,3.04808406053696
403,3.6361950731282158,2.829613797359987,ETAD-0019-3,47.9573741418564,4.7957374141856395,3.04808406053696
404,3.3228347078553564,2.9519041065367233,ETAD-0020-4,47.2085144272245,4.72085144272245,3.04494385659258
405,5.972927008963982,5.487300580308263,ETAD-0021-5,60.3013117364551,6.030131173645509,4.44446651940708
406,3.8191600379350956,2.915111293576205,ETAD-0022-6,52.5461818851455,5.25461818851455,4.14890010492659
408,2.815788851939438,3.050509184705667,ETAD-0024-8,38.786292138935,3.8786292138935003,2.75505455285023
457,0.6394657365399679,0.6763564312013605,ETAD-0037-5,38.4033765481693,3.84033765481693,0.693114797533127
848,3.9422584864704264,2.8173193960302343,ETAD-0041-1,46.6016939524157,4.66016939524157,3.26081014809693
849,2.790381593919312,1.258053955302144,ETAD-0042-2,36.9923253691056,3.69923253691056,2.31740999208569
850,5.231212570978775,3.6182689784093554,ETAD-0043-3,54.7501378503012,5.47501378503012,3.71219914354587
851,3.6509957025850803,2.9965568163970526,ETAD-0044-4,50.3622502552966,5.03622502552966,3.93445638960004
852,3.8086924222947607,2.9234990857450454,ETAD-0045-5,47.9613651216589,4.79613651216589,3.29152319296722
853,2.708014907143915,2.058417993347844,ETAD-0046-6,35.0962017454222,3.5096201745422198,2.70476257603748
856,2.3516632761349703,1.4645801977790938,ETAD-0049-1,32.0959562192662,3.2095956219266197,2.76399830754091
857,2.9437208523175795,1.8167399193001275,ETAD-0050-2,39.8375822195865,3.98375822195865,3.550943879762
858,7.180546858657306,5.922848035783015,ETAD-0051-3,45.290963144598,4.5290963144598,5.1807562461787
859,7.0770847721555,6.702048759625615,ETAD-0052-4,49.8687640080284,4.98687640080284,4.96930590471469
