SiteCode,n,slope,intercept,r2
ACAD1,2543,8.2173076184053,0.35399196724824655,0.7454465119257068
ADPI1,888,6.567812893661355,0.889150819646565,0.7095854886900227
AGTI1,1992,8.644782647393614,1.1326245600016143,0.7397972912133759
AREN1,939,5.881042205570815,1.6706298246279017,0.6627073178234394
ATLA1,828,5.597654863153151,2.455750844901133,0.76621102144399
BADL1,2564,1.429070924166249,1.1190912035775873,0.32435923579710385
BALA1,613,5.280034146253932,0.6572949806615063,0.677424921027313
BALD1,2389,6.866877891200138,0.41452750247989745,0.7065532264391
BALT1,290,5.624960882025507,2.610498990402936,0.8200161524561562
BAND1,2496,6.353843770402323,0.5718718472395062,0.673237588326377
BIBE1,2454,10.990750744317355,0.36686966150001105,0.6980047471021016
BIRM1,2294,5.517188751818946,3.391608527115615,0.792281319089178
BLIS1,1833,2.688499708317131,1.1254398171477678,0.438116673461079
BLIS2,434,4.244116180057608,0.5014121619430192,0.653792422975109
BLMO1,1451,8.696412927701532,0.7699970892331436,0.7323962109796267
BOAP1,2342,9.729340011890097,0.44380175287655454,0.802510606281172
BOLA1,1642,7.345539174261066,0.27017761217878566,0.8121331785421029
BOND1,2568,7.334229377143938,1.0721754021191061,0.7515822454314475
BOWA1,2308,5.924457109927951,0.564648587962003,0.6547749771501317
BRCA1,2349,7.3579525711431355,0.3438194616855734,0.6212364088200466
BRET1,236,5.742615002536403,1.4065979912915552,0.6824310405122322
BRID1,2260,5.745811010888557,0.3401508256266659,0.7210252764435855
BRIG1,2402,3.342572540898007,2.258783324002172,0.569873703401203
BRIS1,1733,7.605491334057425,1.248305977340749,0.702453688531879
BRMA1,1493,7.9910353187789624,0.48508983920605675,0.7741787107150054
BYIS1,515,7.883718961630798,1.7820433245207352,0.7181319860721125
CABA1,2512,7.398841148660387,0.8304094053314947,0.8165908924144898
CABI1,2286,1.7707673315128072,0.9533049784770707,0.4194429069606546
CACO1,2355,8.690931001042657,0.5431733857844261,0.7929775707372516
CACR1,2474,7.7200432186582475,0.7901209667097564,0.5764643746570969
CADI1,900,5.931101926832652,1.4359832148182237,0.5895548380375435
CANY1,2361,9.572430166416707,0.2342136145035158,0.7251031355004544
CAPI1,2379,7.699656239449958,0.32674790055354386,0.68987839227523
CAVE1,773,10.6396572837442,0.5369711872369517,0.7355321491156392
CEBL1,2567,9.575325297143083,0.3927143817993787,0.6825159580932588
CHAS1,2288,7.02574878646784,1.7927956070373738,0.7798471300123025
CHER1,853,9.01356749637802,0.8395573705640234,0.6769058364995627
CHIC1,213,5.566064116307446,3.896992179781808,0.5700289618805513
CHIR1,2463,8.734912153839918,0.3926163259275936,0.5976148830984747
CLPE1,1171,8.53166384811424,0.18167296246531317,0.8342680049011383
COGO1,993,8.686073731120045,1.0384232784209866,0.7697633601961852
COHI1,411,5.930500720565177,1.0131369868008484,0.6169449062395651
COHU1,2272,7.584026998463735,0.9933499942951353,0.6824334582697577
CORI1,2557,8.138327557758984,1.176083105700949,0.7600385937695225
CRES1,1490,9.506097125668646,0.2740275304642436,0.714826397281117
CRLA1,2335,1.958859129726222,1.1328953822041654,0.43362512849230533
CRMO1,2314,3.882839616522454,0.6576181267610179,0.5931059853430849
DENA1,2092,6.651857057156361,0.20260992434699687,0.6806939351357731
DETR1,192,5.702022463967554,3.660085704808904,0.5961496723958732
DEVA1,1121,11.40497576306178,0.34911403296959626,0.7460670905493206
DINO1,705,6.74979063079576,0.5387392911255178,0.8413132635091782
DOME1,2257,5.293535979732025,1.0553879560852113,0.5893474936372018
DOSO1,2598,7.441596422904419,0.715031686551538,0.6852870296138849
DOUG1,1332,11.476231488773491,1.140973368006974,0.7852528103384948
EGBE1,2236,7.842636557092119,0.637037838823455,0.8194850969918496
ELDO1,1483,7.465355241377938,1.2610497770566098,0.6325669866301534
ELLI1,1451,8.251291440543062,0.699168910445846,0.6283702579526103
EVER1,2378,6.0867737063683105,1.2091836996354082,0.5106831249608612
FCPC1,939,7.623372497697038,0.3908388809554459,0.8157158106397921
FLAT1,2275,1.554591165914348,0.9880102305953263,0.3120367504910264
FLTO1,983,7.684516264200404,0.26242165266768297,0.8550080568098221
