site,n,slope_fabs_per_public_bc,intercept,r2
ETAD,232,9.988856751082986,0.16057027410848063,0.9985694654994419
ZAJB,202,9.971648759887714,0.0366356422083564,0.9996234090831023
TWTA,193,9.996190532243045,0.014487514026886432,0.9996834671110386
ZAPR,190,10.037725233633838,-0.04683218092711461,0.9997414106760876
CHTS,175,10.007269788635764,0.005843002854836852,0.9993288281899027
CLST,163,9.997966095686587,0.005460200073057731,0.999994894976762
USPA,156,10.01337581744471,-0.015861486005806256,0.9990949614688155
TWKA,153,9.919217037937392,0.1405032935021625,0.9983394386942478
ILNZ,142,9.99796212481698,0.0058452896863596965,0.999976117141108
ILHA,137,10.00155985956638,-0.001957876373040395,0.9999529312787474
INDH,109,10.000328931391671,-0.007986452431125697,0.99999952614526
KRUL,97,10.134952776651334,-0.06212206850056869,0.8370418933533601
CLTA,82,9.99485267042676,0.0031850095338974227,0.9999912028467133
AEAZ,63,9.999761060390503,-0.002833242082728579,0.9999737120442134
AUMN,51,9.956786024711437,0.012803462968537562,0.9997807329319042
INJA,47,10.000998289083194,-0.0054118167363128465,0.9999984506546782
BDDU,46,10.003315519042415,-0.017101100381408756,0.9999957047142952
CAHA,40,10.031926914596788,0.056588141849836675,0.9538374737130944
PRFJ,34,9.844962245882991,-0.02558874338083627,0.9757461316138096
BIBU,34,10.003482351081514,-0.014029394109166296,0.9999894498965263
KRSE,32,9.988938311818956,0.008408477847610497,0.999907430517735
MXMC,30,9.962107469166584,0.0716354418088634,0.9994283655720603
CASH,29,10.068555349423889,-0.016154372778925095,0.999338663392108
USNO,23,10.048297545024184,-0.022561219661837086,0.9993877457908054
IDBD,19,9.9752201376298,0.051791992067914024,0.9999837575619029
