"Site","Latitude","Longitude","Barcode","FilterId","SampleDate","FilterType","LotId","AnalysisDate","AnalysisTime","CalibrationSetId","DepositArea_cm2","Volume_m3","Parameter","MassLoading_ug","Concentration_ug_m3","MDL_ug_m3","Uncertainty_ug_m3","FilterComments"
"CHTS",40.004,116.326,"201287","CHTS-0670-5",2022-09-11,"PM2.5","248","2023-02-09","10:02:22","PF",3.53,7.2,"alkaneCH",114.56678641093,15.9120536681848,,,
"CHTS",40.004,116.326,"201287","CHTS-0670-5",2022-09-11,"PM2.5","248","2023-02-09","10:02:22","PF",3.53,7.2,"naCO",0,0,,,
"CHTS",40.004,116.326,"201287","CHTS-0670-5",2022-09-11,"PM2.5","248","2023-02-09","10:02:22","PF",3.53,7.2,"carboxylicCOOH",147.467942752737,20.4816587156579,,,
"CHTS",40.004,116.326,"201287","CHTS-0670-5",2022-09-11,"PM2.5","248","2023-02-09","10:02:22","PF",3.53,7.2,"OM",298.522612564978,41.461473967358,,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","17",3.53,7.2,"EC_ftir",7.95591262167511,1.10498786412154,0.459100108602086,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","18",3.53,7.2,"OC_ftir",30.0665187669299,4.17590538429582,0.83712622499035,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","PF",3.53,7.2,"alcoholCOH",8.6932991137859,1.20740265469249,,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","PF",3.53,7.2,"alkaneCH",53.7179155283995,7.4608216011666,,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","PF",3.53,7.2,"naCO",0,0,,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","PF",3.53,7.2,"carboxylicCOOH",43.6852944373952,6.06740200519378,,,
"CHTS",40.004,116.326,"201286","CHTS-0671-6",2022-09-14,"PM2.5","248","2023-02-09","10:07:22","PF",3.53,7.2,"OM",106.096509079581,14.7356262610529,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","11",3.53,,"EC_ftir",1.47817735368647,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","12",3.53,,"OC_ftir",7.86193781979698,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","PF",3.53,,"alcoholCOH",4.81587126624534,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","PF",3.53,,"alkaneCH",2.11153007657345,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","PF",3.53,,"naCO",1.37028000060143,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","PF",3.53,,"carboxylicCOOH",0,,,,
"CHTS",40.004,116.326,"206174","CHTS-0674-1",2022-09-22,"PM2.5","251","2023-02-09","10:22:57","PF",3.53,,"OM",8.29768134342022,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","11",3.53,,"EC_ftir",20.9362280883779,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","12",3.53,,"OC_ftir",51.98461036575,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","PF",3.53,,"alcoholCOH",9.74575770616896,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","PF",3.53,,"alkaneCH",43.9116089253719,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","PF",3.53,,"naCO",9.67182627279677,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","PF",3.53,,"carboxylicCOOH",35.7326792824416,,,,
"CHTS",40.004,116.326,"206103","CHTS-0675-2",2022-09-25,"PM2.5","251","2023-02-09","10:33:38","PF",3.53,,"OM",99.0618721867792,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","11",3.53,,"EC_ftir",33.1323267888959,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","12",3.53,,"OC_ftir",72.9497801321537,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","PF",3.53,,"alcoholCOH",13.3027842412624,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","PF",3.53,,"alkaneCH",37.584659832069,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","PF",3.53,,"naCO",20.9836185674141,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","PF",3.53,,"carboxylicCOOH",29.4077284557577,,,,
"CHTS",40.004,116.326,"206104","CHTS-0676-3",2022-09-28,"PM2.5","251","2023-02-09","10:40:47","PF",3.53,,"OM",101.278791096503,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","11",3.53,,"EC_ftir",16.1641276595058,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","12",3.53,,"OC_ftir",42.5702235688843,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","PF",3.53,,"alcoholCOH",8.7259244560193,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","PF",3.53,,"alkaneCH",47.7739218306127,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","PF",3.53,,"naCO",10.0273001431188,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","PF",3.53,,"carboxylicCOOH",29.9780657933272,,,,
"CHTS",40.004,116.326,"206105","CHTS-0677-4",2022-10-01,"PM2.5","251","2023-02-09","10:46:04","PF",3.53,,"OM",96.5052122230779,,,,
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","11",3.53,,"EC_ftir",2.43861738230147,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","12",3.53,,"OC_ftir",13.6755401153419,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","PF",3.53,,"alcoholCOH",2.75441416181693,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","PF",3.53,,"alkaneCH",5.42054018001503,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","PF",3.53,,"naCO",2.63445755855889,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","PF",3.53,,"carboxylicCOOH",0.31590637178179,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206106","CHTS-0678-5",2022-10-04,"PM2.5","251","2023-02-09","10:51:24","PF",3.53,,"OM",11.1253182721726,,,,"Non-homogeneous deposit, more deposit in some grids"
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","11",3.53,,"EC_ftir",13.6939054278694,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","12",3.53,,"OC_ftir",24.4676975076144,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","PF",3.53,,"alcoholCOH",18.6350178094297,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","PF",3.53,,"alkaneCH",67.3380814278634,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","PF",3.53,,"naCO",3.86281310419357,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","PF",3.53,,"carboxylicCOOH",38.3573768750612,,,,
"CHTS",40.004,116.326,"206109","CHTS-0679-6",2022-10-07,"PM2.5","251","2023-02-09","10:56:36","PF",3.53,,"OM",128.193289216548,,,,
