cohort,df1,k,n,slope,intercept,R2,RMSE,MAE,bias,median_bias
lowest-OCEC 800,6,5,194,1.0109973429248924,1.0162439860583972,0.9042378584096511,3.8586544397509446,2.5230442326304514,1.0845263726494725,1.0996792623416927
lowest-OCEC 800,8,5,194,0.994341426792102,1.11270363876635,0.8954726056928795,3.9711051314047707,2.6306723606514257,1.0775696172145586,1.0758301134087611
