FilterId,LotId,SampleDate,EC_ftir,HIPS_Fabs,OC_ftir,fabs_bc_ugm3,EC_general,EC_biomass,is_biomass,delta,ratio
ETAD-0057-1,251.0,2023-03-29,6.63401511944448,62.51225339,8.47919350731651,6.251225338999999,6.63401511944448,7.8281378409444855,True,1.1941227215000056,1.18
ETAD-0058-2,251.0,2023-04-01,3.60418278532791,41.93236144,4.96148685794412,4.193236144,3.60418278532791,3.60418278532791,False,0.0,1.0
ETAD-0059-3,251.0,2023-04-04,3.3060189975723,44.81615814,4.40281196074564,4.4816158139999995,3.3060189975723,3.3060189975723,False,0.0,1.0
ETAD-0060-4,251.0,2023-04-07,2.96965039302822,40.24244465,3.93649949003245,4.024244465000001,2.96965039302822,2.96965039302822,False,0.0,1.0
ETAD-0061-5,251.0,2023-04-10,2.7330819375566,40.79426372,3.35802638315262,4.0794263719999995,2.7330819375566,2.7330819375566,False,0.0,1.0
ETAD-0062-6,251.0,2023-04-13,3.7592474421959,39.68737036,4.57185958966898,3.9687370360000003,3.7592474421959,3.7592474421959,False,0.0,1.0
ETAD-0064-8,251.0,2023-04-16,1.90446116072198,30.34073311,2.83577604249774,3.0340733109999998,1.90446116072198,1.90446116072198,False,0.0,1.0
ETAD-0065-1,251.0,2023-04-21,4.3354716491761,40.11375228,6.00372346532361,4.011375228,4.3354716491761,4.3354716491761,False,0.0,1.0
ETAD-0066-2,251.0,2023-04-24,4.13586201342062,47.11027032,5.05915153169685,4.711027032,4.13586201342062,4.13586201342062,False,0.0,1.0
ETAD-0067-3,251.0,2023-04-27,9.56483445109328,67.99931844,12.1258840137782,6.799931844,9.56483445109328,11.28650465229007,True,1.7216702011967904,1.18
ETAD-0068-4,251.0,2023-04-30,6.33628761877829,44.61769033,7.94896809015157,4.461769033,6.33628761877829,7.476819390158382,True,1.1405317713800915,1.18
ETAD-0069-5,251.0,2023-05-03,5.98240993054586,62.45675111,7.61468443872322,6.245675111,5.98240993054586,7.059243718044114,True,1.0768337874982548,1.18
ETAD-0070-6,251.0,2023-05-06,9.60062140677769,68.50503355,12.707702177187,6.850503354999999,9.60062140677769,11.328733259997673,True,1.7281118532199837,1.18
ETAD-0072-8,251.0,2023-05-09,8.19157008121446,60.16745531,12.2372124831682,6.016745531,8.19157008121446,9.666052695833061,True,1.4744826146186014,1.18
ETAD-0073-1,251.0,2023-05-17,9.22076924427773,63.33865509,11.4675219477985,6.333865509000001,9.22076924427773,10.88050770824772,True,1.6597384639699904,1.18
ETAD-0074-2,251.0,2023-05-20,6.19171207292678,47.34375593,8.80333254032403,4.734375593,6.19171207292678,7.3062202460536,True,1.1145081731268203,1.18
ETAD-0075-3,251.0,2023-05-23,4.79443021375114,50.53282887,6.51793695619698,5.053282887,4.79443021375114,5.657427652226344,True,0.8629974384752046,1.18
ETAD-0076-4,251.0,2023-05-26,3.94375598256754,46.44345104,5.30269973533435,4.644345104,3.94375598256754,3.94375598256754,False,0.0,1.0
ETAD-0077-5,251.0,2023-05-29,4.93752053893297,48.87206008,7.0351984204833,4.887206008,4.93752053893297,5.826274235940905,True,0.8887536970079344,1.18
ETAD-0078-6,251.0,2023-06-01,3.7894367228435,43.70324405,5.49136353426408,4.370324405,3.7894367228435,3.7894367228435,False,0.0,1.0
ETAD-0080-8,251.0,2023-06-04,3.35205161380073,42.31763644,4.88786541294863,4.231763644,3.35205161380073,3.35205161380073,False,0.0,1.0
ETAD-0081-1,251.0,2023-06-07,9.84021969992934,67.76348147,12.7998538743713,6.776348147,9.84021969992934,11.61145924591662,True,1.7712395459872798,1.18
ETAD-0082-2,251.0,2023-06-10,7.06932785467946,55.45061363,10.164324325001,5.545061363,7.06932785467946,8.341806868521763,True,1.272479013842303,1.18
ETAD-0083-3,251.0,2023-06-13,6.72880487281418,60.04948481,9.51088528501822,6.0049484810000004,6.72880487281418,7.939989749920732,True,1.211184877106552,1.18
ETAD-0084-4,251.0,2023-06-16,6.55506060402848,58.58095843,8.5804782514535,5.858095843,6.55506060402848,7.734971512753606,True,1.1799109087251258,1.18
ETAD-0085-5,251.0,2023-06-19,9.71382603908046,67.95721153,12.4718500480117,6.795721153,9.71382603908046,11.462314726114943,True,1.7484886870344827,1.18
ETAD-0086-6,251.0,2023-06-22,7.72394122622324,64.14046611,11.4447899967009,6.414046611000001,7.72394122622324,9.114250646943423,True,1.3903094207201834,1.18
ETAD-0088-8,251.0,2023-06-25,7.53488548474418,65.21697398,11.3486369696534,6.521697398000001,7.53488548474418,8.891164871998132,True,1.3562793872539523,1.18
ETAD-0089-1,251.0,2023-06-28,5.11957947257968,47.80867847,7.19762469628678,4.780867847,5.11957947257968,6.041103777644023,True,0.9215243050643425,1.18
ETAD-0090-2,251.0,2023-07-01,9.60028900951178,66.27239658,13.7001642076786,6.627239658000001,9.60028900951178,11.3283410312239,True,1.72805202171212,1.18
ETAD-0091-3,251.0,2023-07-04,3.96715229606112,43.75169738,6.08903510296643,4.375169738,3.96715229606112,3.96715229606112,False,0.0,1.0
ETAD-0092-4,251.0,2023-07-07,7.25299440808165,56.1327268,9.93814617770619,5.61327268,7.25299440808165,8.558533401536348,True,1.3055389934546975,1.1800000000000002
ETAD-0093-5,251.0,2023-07-10,9.00381055582064,65.12634803,11.3268352584757,6.512634803,9.00381055582064,10.624496455868355,True,1.6206859000477145,1.18
ETAD-0094-6,251.0,2023-07-13,8.49561580753122,62.88487097,11.7580337861966,6.288487097,8.49561580753122,10.024826652886839,True,1.5292108453556192,1.18
ETAD-0096-8,251.0,2023-07-16,6.01814926174689,50.82535467,8.18082837369428,5.0825354670000005,6.01814926174689,7.10141612886133,True,1.0832668671144399,1.18
ETAD-0097-1,251.0,2023-07-21,5.41096860602627,46.91845275,6.93087675966276,4.691845275,5.41096860602627,6.384942955110998,True,0.9739743490847284,1.18
ETAD-0098-2,251.0,2023-07-24,9.71557571204205,67.94044642,12.9652024916828,6.794044642,9.71557571204205,11.464379340209618,True,1.7488036281675683,1.18
ETAD-0099-3,251.0,2023-07-27,7.14629951417406,56.06342134,9.61156348461163,5.606342134,7.14629951417406,8.43263342672539,True,1.2863339125513304,1.18
ETAD-0100-4,251.0,2023-07-30,7.16510806176563,62.83636069,9.29498083441513,6.283636069,7.16510806176563,8.454827512883442,True,1.2897194511178123,1.18
ETAD-0101-5,251.0,2023-08-02,6.96936122547411,54.18651929,9.55319720484436,5.418651929,6.96936122547411,8.223846246059448,True,1.2544850205853386,1.18
ETAD-0102-6,251.0,2023-08-05,5.09432326437244,42.7572043,7.17222301333997,4.27572043,5.09432326437244,6.011301451959478,True,0.9169781875870386,1.18
ETAD-0104-8,251.0,2023-08-08,8.37295792957599,64.49120883,11.3069287432751,6.449120883000001,8.37295792957599,9.880090356899668,True,1.5071324273236772,1.18
ETAD-0105-1,251.0,2023-08-16,7.43344379494322,53.65642667,10.0441362425646,5.365642667,7.43344379494322,8.771463678033,True,1.3380198830897791,1.18
ETAD-0106-2,251.0,2023-08-19,7.56736169510189,60.26608228,13.0353284738794,6.026608228,7.56736169510189,8.92948680022023,True,1.3621251051183405,1.18
ETAD-0107-3,251.0,2023-08-22,8.54710506277628,64.27850044,13.2529510840628,6.427850044,8.54710506277628,10.08558397407601,True,1.5384789112997304,1.18
ETAD-0108-4,251.0,2023-08-25,6.4862970153617,55.79278935,8.81919008878,5.579278935,6.4862970153617,7.653830478126806,True,1.167533462765106,1.18
ETAD-0109-5,251.0,2023-08-28,6.63988496531117,51.29363222,8.60710504148436,5.129363222,6.63988496531117,7.83506425906718,True,1.1951792937560102,1.18
ETAD-0110-6,251.0,2023-08-31,6.7672334941224,51.98976373,9.56567317488877,5.198976373,6.7672334941224,7.985335523064432,True,1.218102028942032,1.18
ETAD-0112-8,251.0,2023-09-03,3.50194202698363,46.70495337,5.67587627197798,4.670495337,3.50194202698363,3.50194202698363,False,0.0,1.0
ETAD-0113-1,251.0,2023-09-06,7.16558946610295,52.74626602,9.21135548594173,5.274626602,7.16558946610295,8.45539557000148,True,1.2898061038985302,1.18
ETAD-0114-2,251.0,2023-09-09,10.5333537907337,74.1917105,15.3323358806465,7.41917105,10.5333537907337,12.429357473065766,True,1.896003682332065,1.18
ETAD-0115-3,251.0,2023-09-12,3.43937872823145,34.89895114,6.84779708063582,3.4898951140000003,3.43937872823145,4.05846689931311,True,0.6190881710816605,1.18
ETAD-0116-4,251.0,2023-09-15,6.78519442128312,51.53133867,8.49707461548366,5.153133866999999,6.78519442128312,8.00652941711408,True,1.2213349958309605,1.18
ETAD-0117-5,251.0,2023-09-18,4.7245348011493,38.17911406,5.87854105017979,3.8179114060000003,4.7245348011493,4.7245348011493,False,0.0,1.0
ETAD-0118-6,251.0,2023-09-21,5.9795695411229,58.57041677,8.26891407313197,5.857041677,5.9795695411229,7.055892058525021,True,1.0763225174021214,1.18
ETAD-0120-8,251.0,2023-09-24,4.68765413880968,45.85384805,6.01975911837531,4.585384805,4.68765413880968,4.68765413880968,False,0.0,1.0
ETAD-0121-1,251.0,2023-09-27,6.79724344520302,44.86476639,14.4556403696151,4.486476639,6.79724344520302,8.020747265339564,True,1.2235038201365436,1.18
ETAD-0128-8,251.0,2023-10-15,2.23594182575397,38.38845253,3.52306021838352,3.838845253,2.23594182575397,2.23594182575397,False,0.0,1.0
ETAD-0129-1,251.0,2023-10-18,3.72198389991977,46.6012282,4.52301402677451,4.66012282,3.72198389991977,3.72198389991977,False,0.0,1.0
