# File Updated: 2025-07-29
# Data version 3.0
# Site: Addis Ababa, Ethiopia
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28908,Iron PM2.5,276.03,Nanograms per cubic meter (ng/m3),0.0109,0.016,0.0098,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28912,Zinc PM2.5,5.46,Nanograms per cubic meter (ng/m3),0.0076,0.01,0.0061,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28919,Cerium PM2.5,1.89,Nanograms per cubic meter (ng/m3),0.0011,0.0011,0.0007,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28920,Lead PM2.5,1.84,Nanograms per cubic meter (ng/m3),0.0026,0.0029,0.0018,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28913,Arsenic PM2.5,0.69,Nanograms per cubic meter (ng/m3),0.0008,0.0016,0.001,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28909,Cobalt PM2.5,0.55,Nanograms per cubic meter (ng/m3),0.0006,0.0007,0.0004,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28906,Chromium PM2.5,0.94,Nanograms per cubic meter (ng/m3),0.0037,0.0037,0.0023,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28911,Copper PM2.5,-7.24,Nanograms per cubic meter (ng/m3),0.0191,0.0247,0.015,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28804,Magnesium PM2.5,334.43,Nanograms per cubic meter (ng/m3),0.1634,0.1634,0.0993,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28907,Manganese PM2.5,7.84,Nanograms per cubic meter (ng/m3),0.001,0.0074,0.0045,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28910,Nickel PM2.5,-2.23,Nanograms per cubic meter (ng/m3),0.0047,0.0068,0.0042,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28917,Antimony PM2.5,0.89,Nanograms per cubic meter (ng/m3),0.0185,0.0265,0.0161,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28921,Rubidium PM2.5,1.04,Nanograms per cubic meter (ng/m3),0.0017,0.002,0.0012,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28922,Strontium PM2.5,1.64,Nanograms per cubic meter (ng/m3),0.0031,0.0032,0.002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28916,Cadmium PM2.5,-0.4,Nanograms per cubic meter (ng/m3),0.0083,0.0092,0.0056,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
ETAD,9.0106,38.8207,2370.0,ETAD-0017,2022,12,7,9.0,2022,12,8,9.0,24.0,28914,Selenium PM2.5,0.35,Nanograms per cubic meter (ng/m3),0.0005,0.0005,0.0003,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,SGP
