MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
1945,97.4254,55.3658,-105.6382,120.9916,-2.5801,70.1915
1946,33.6364,21.3481,-33.2882,41.4115,-51.524,24.7564
1947,63.8725,35.2976,-60.5155,78.9614,-9.5923,44.3408
1948,43.8845,25.2274,-109.292,54.0811,-50.5365,30.4007
1949,52.6283,31.7826,-107.7678,71.1349,-18.6956,39.7181
1950,1.2697,2.1602,-133.3267,4.2337,-80.1739,0.85
1951,40.6965,24.6484,-57.8665,51.0898,-28.7942,31.0778
1952,45.7249,37.8929,1.4349,61.6754,18.1523,41.9735
1953,39.8123,26.9924,-161.4794,53.3773,-59.2875,32.9703
1954,26.2024,11.5505,-94.0394,42.7451,-45.2906,18.0215
1955,22.5057,8.5808,-72.0923,40.5133,-1.7156,14.7254
1956,33.2202,17.1892,-140.9055,55.8904,17.348,24.8002
1957,17.136,12.4905,-119.5214,26.1133,-74.3514,15.7176
1958,-0.8179,2.5363,-129.8342,2.6814,-121.1294,4.2736
1959,18.4452,10.6842,-94.002,29.9123,-65.5847,15.3434
1960,27.7915,17.1378,-111.3737,42.6951,-29.9278,23.3124
1961,25.5293,15.6788,-118.0036,37.2014,-86.3749,21.9654
1962,32.8137,20.1868,-20.2177,44.768,-9.0608,26.2507
1963,19.1724,11.7781,-92.5358,25.3642,-101.1766,15.9088
1964,31.2973,20.5073,-55.7528,39.9835,-75.9567,27.1468
1965,25.476,14.9587,-38.9499,40.1451,24.531,21.2915
1966,-2.4711,1.9087,-147.0834,0.0256,-112.7529,1.8576
1967,22.4319,16.1053,-9.7805,32.3791,18.8754,19.7581
1936,67.7528,36.6442,-42.9815,84.2543,-11.9733,46.3769
1937,59.2615,41.0723,-37.011,75.938,0.4779,50.7458
1938,72.7371,43.5398,2.0367,91.2284,-6.0044,55.767
1939,55.9482,33.577,-75.921,72.2736,-22.8322,41.5269
1940,59.62,34.5237,-35.2094,77.4385,-19.6293,42.5327
1941,64.0479,34.6703,-41.3168,82.7692,-17.8771,43.2184
1942,1.0845,2.0442,-117.683,6.7556,-71.2921,0.8636
1943,19.0406,16.3203,-232.3887,35.471,-94.3817,17.4163
2353,19.5952,11.192,-95.3201,32.9895,-30.8312,15.8534
2354,25.8113,12.4087,-79.8953,40.4231,-25.5066,18.2882
2355,7.9372,4.0829,-142.1533,15.348,-127.6938,12.5503
2355,34.4486,19.3653,-53.6188,49.626,-12.6093,26.1955
2356,31.7192,18.3464,-33.8298,46.1259,9.6423,25.4354
2357,31.0184,21.2526,-76.8816,40.957,-61.3247,27.3721
2358,19.2014,14.0674,-78.9451,27.5125,-63.6617,18.8255
2359,4.7484,3.9018,-95.7575,7.941,-77.635,5.5045
2360,16.4867,15.8024,-99.74,29.512,-28.9247,19.6855
2361,24.585,16.9047,-22.6626,36.6401,12.7859,21.4758
2362,20.246,10.5205,-41.7743,35.741,58.5897,14.8948
2363,26.8857,19.0436,-54.3776,40.5,-34.2288,25.0594
2364,34.9423,21.1253,-67.5953,43.7616,-49.5702,26.9077
2365,21.8494,14.608,-75.6658,31.5548,-66.9926,19.7095
