MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
1964,0.5196,3.2342,4.5059,4.7323,5.5116,5.0889
1965,0.8182,3.1851,3.3306,4.1349,5.2854,5.2067
1966,,,,,,
1967,1.2587,3.3648,3.2482,3.4528,4.4361,4.2041
1936,1.6198,7.0991,9.323,10.2143,10.7556,9.8148
1937,1.9561,6.5231,8.1625,8.9821,8.6114,8.6696
1938,2.1357,7.7607,10.124,11.0965,11.2044,10.3097
1939,1.3771,5.746,7.7261,8.4825,8.5544,7.6663
1940,1.5607,6.3015,8.2856,8.936,9.4131,8.6385
1941,1.8036,6.6215,8.8167,9.6392,10.0067,8.7724
1942,,,,,,
1943,1.0134,2.3411,3.0654,3.5167,3.8727,4.0723
2353,0.6076,2.2428,2.6996,3.1928,3.989,3.8112
2354,0.5483,2.3427,3.1878,4.1527,4.8706,4.1846
2355,-1.7296,0.2812,0.5346,1.8633,1.3005,1.1349
2355,1.2034,3.6512,4.4575,5.3362,5.9688,5.2434
2356,1.1852,3.6868,4.1531,4.9473,5.9312,4.9312
2357,0.8034,3.0562,4.1411,4.7911,5.2485,4.6342
2358,0.4986,2.19,2.8564,2.9632,3.7904,3.6639
2359,,,,,,
2360,0.9877,2.3333,2.3285,2.7346,3.7118,4.0812
2361,1.0363,3.4961,3.4486,3.8165,4.805,4.3592
2362,1.1289,2.8177,2.4803,3.4008,4.6537,4.4586
2363,0.6496,3.0798,3.7053,4.2387,5.2257,5.1916
2364,0.6841,3.5858,4.7526,5.2401,5.7347,4.8965
2365,0.5797,1.9724,3.1311,3.4142,4.0555,3.9985
2366,0.8479,3.011,4.2232,4.5062,5.4339,5.0801
2367,,,,,,
2368,1.2307,3.0703,3.6821,4.0196,4.7544,4.8524
2737,0.5568,2.2212,3.3436,3.7445,4.4525,3.8778
2738,0.9874,2.5756,3.5624,3.8487,4.4045,3.5465
2739,0.6102,2.6893,3.979,4.3189,4.9812,4.3904
2740,0.499,2.1032,3.1025,3.6228,4.1914,3.2361
2741,1.0483,3.6191,4.9621,5.442,6.1947,4.8271
2742,1.1218,4.1301,5.7162,6.3487,6.8082,5.3345
2743,,,,,,
2744,0.9926,2.9935,3.4513,3.8183,4.7159,3.793
2745,1.4551,5.3762,6.7362,7.5953,7.9619,6.1696
2746,1.5074,3.5678,4.2678,4.6311,4.8002,3.9182
2747,1.0365,3.8171,4.9002,5.5575,5.9959,4.4477
2748,0.7971,1.9918,2.0846,2.0688,2.4701,1.8016
2749,1.2613,3.8177,4.5619,4.9264,5.6592,4.6348
2750,1.5991,4.8577,6.4647,7.3258,7.8474,6.4356
2751,,,,,,
2752,0.3748,1.7242,2.4988,2.9205,3.4715,2.7961
2753,0.4391,2.1855,3.1723,3.713,4.1924,3.2999
2754,0.347,2.1028,3.0458,3.6211,4.2835,3.2134
2755,0.6527,1.9564,2.831,3.1331,3.722,3.0763
2756,0.6211,3.3931,5.263,5.7307,6.0052,5.035
2757,0.8369,3.0109,4.7455,5.1418,5.3767,4.0458
