MediaId,EC_ugm3_new,EC_ugm3_old,ExternalFilterId,Fabs,EC_hips
1939,4.761,7.778,ETAD-0108-4,55.793,5.579
1940,4.99,8.289,ETAD-0109-5,51.294,5.129
1941,5.205,8.904,ETAD-0110-6,51.99,5.199
1942,,,ETAD-0111-7,,
1943,2.277,2.674,ETAD-0112-8,46.705,4.67
2353,1.822,2.695,ETAD-0137-1,37.025,3.702
2354,1.82,3.549,ETAD-0138-2,37.176,3.718
2355,0.612,1.091,ETAD-0139-3,50.914,5.091
2355,2.859,4.737,ETAD-0139-3,50.914,5.091
2356,2.799,4.362,ETAD-0140-4,48.143,4.814
2357,2.734,4.265,ETAD-0141-5,46.382,4.638
2358,2.002,2.64,ETAD-0142-6,34.165,3.416
2359,,,ETAD-0143-7,,
2360,2.012,2.267,ETAD-0144-8,41.269,4.127
2361,2.405,3.381,ETAD-0145-1,37.962,3.796
2362,1.753,2.815,ETAD-0146-2,35.198,3.52
2363,2.509,3.697,ETAD-0147-3,40.839,4.084
2364,3.021,4.805,ETAD-0148-4,36.913,3.691
2365,2.005,3.038,ETAD-0149-5,39.743,3.974
2366,2.582,4.122,ETAD-0150-6,47.216,4.722
2367,,,ETAD-0151-7,,
2368,2.64,3.605,ETAD-0152-8,43.324,4.332
2737,2.26,3.284,ETAD-0153-1,43.176,4.318
2738,2.397,3.453,ETAD-0154-2,42.477,4.248
2739,2.484,3.87,ETAD-0155-3,43.297,4.33
2740,2.02,3.236,ETAD-0156-4,36.555,3.655
2741,3.11,4.922,ETAD-0157-5,53.054,5.305
2742,3.67,5.709,ETAD-0158-6,52.47,5.247
2743,,,ETAD-0159-7,,
2744,2.247,3.386,ETAD-0160-8,36.049,3.605
2745,4.414,6.809,ETAD-0161-1,60.343,6.034
2746,3.168,4.166,ETAD-0162-2,44.87,4.487
2747,3.123,5.006,ETAD-0163-3,45.262,4.526
2748,1.74,1.886,ETAD-0164-4,28.229,2.823
2749,3.158,4.442,ETAD-0165-5,47.794,4.779
2750,4.0,6.637,ETAD-0166-6,54.353,5.435
2751,,,ETAD-0167-7,,
2752,1.734,2.545,ETAD-0168-8,32.359,3.236
2753,2.058,3.25,ETAD-0169-1,35.121,3.512
2754,1.911,3.158,ETAD-0170-2,34.902,3.49
2755,1.923,2.762,ETAD-0171-3,34.681,3.468
2756,3.29,5.311,ETAD-0172-4,32.603,3.26
2757,3.113,4.56,ETAD-0173-5,47.069,4.707
2758,3.585,6.156,ETAD-0174-6,45.099,4.51
2759,,,ETAD-0175-7,,
2760,3.245,5.369,ETAD-0176-8,46.39,4.639
2761,1.962,3.273,ETAD-0177-1,35.078,3.508
