MediaId,CAL-0 all-nofilter,CAL-1 cleaned,CAL-2 removed-only,CAL-3 below-1:1,CAL-4 EC-high>=70,CAL-5 Eth-range
1959,2.5956,1.5035,-13.2278,4.2092,-9.229,2.1591
1960,3.8217,2.3567,-15.3154,5.8712,-4.1155,3.2058
1961,3.5106,2.1561,-16.2271,5.1157,-11.8777,3.0205
1962,4.5123,2.776,-2.7802,6.1562,-1.246,3.6098
1963,2.6365,1.6197,-12.7249,3.4879,-13.9132,2.1877
1964,4.2533,2.7869,-7.5768,5.4337,-10.3225,3.6892
1965,3.5033,2.057,-5.3561,5.5205,3.3734,2.9279
1966,,,,,,
1967,3.0847,2.2147,-1.345,4.4526,2.5956,2.717
1936,9.4195,5.0946,-5.9756,11.7137,-1.6646,6.4477
1937,8.239,5.7102,-5.1456,10.5575,0.0664,7.0551
1938,10.2147,6.1145,0.286,12.8115,-0.8432,7.8316
1939,7.7784,4.6681,-10.5551,10.048,-3.1743,5.7734
1940,8.2888,4.7998,-4.8951,10.7661,-2.729,5.9132
1941,8.9045,4.8201,-5.7442,11.5072,-2.4854,6.0086
1942,,,,,,
1943,2.6739,2.2919,-32.6352,4.9813,-13.2544,2.4458
2353,2.6946,1.5391,-13.1078,4.5365,-4.2397,2.1801
2354,3.5494,1.7064,-10.9867,5.5587,-3.5075,2.5149
2355,1.0915,0.5615,-19.548,2.1106,-17.5597,1.7258
2355,4.7372,2.663,-7.3733,6.8243,-1.734,3.6022
2356,4.3618,2.5229,-4.6521,6.3429,1.326,3.4977
2357,4.2655,2.9225,-10.5723,5.6321,-8.433,3.764
2358,2.6405,1.9345,-10.856,3.7833,-8.7544,2.5888
2359,,,,,,
2360,2.2671,2.173,-13.7156,4.0583,-3.9775,2.707
2361,3.3808,2.3246,-3.1164,5.0385,1.7582,2.9532
2362,2.8148,1.4626,-5.8078,4.969,8.1456,2.0708
2363,3.6972,2.6188,-7.4777,5.5693,-4.7069,3.446
2364,4.8051,2.905,-9.2953,6.0178,-6.8166,3.7002
2365,3.0377,2.0309,-10.5197,4.387,-9.3138,2.7402
2366,4.1224,2.4186,-5.0137,5.9485,-5.655,3.5157
2367,,,,,,
2368,3.6046,2.5247,-3.357,5.1855,-2.7222,3.3855
2737,3.2836,2.2164,-19.7727,4.8471,-13.2925,3.2784
2738,3.4532,2.3598,-12.0564,4.7408,-7.986,3.5393
2739,3.8698,2.5589,-14.3047,5.4388,-11.5656,3.8233
2740,3.2359,2.0585,-11.8154,4.3814,-10.2737,3.1167
2741,4.9224,3.1114,-9.2807,6.1435,-8.8181,4.4971
2742,5.7086,4.1336,-11.6426,7.0254,-10.5103,5.6015
2743,,,,,,
2744,3.3861,2.3699,-1.1964,4.7143,-0.5136,3.2388
2745,6.8094,5.0675,-14.6624,8.4164,-6.4489,6.6043
2746,4.1658,3.6046,-14.7509,5.0207,-6.5802,4.6986
2747,5.0055,3.2083,-13.8281,5.969,-8.8741,4.2879
2748,1.8863,1.8502,-9.888,2.781,-5.258,2.4858
2749,4.4416,3.4111,-12.1787,5.5513,-6.1912,4.6082
2750,6.6373,4.4186,-12.184,7.8286,-7.96,6.0229
2751,,,,,,
2752,2.545,2.0767,-14.5558,3.506,-10.433,2.922
2753,3.2503,2.3556,-13.7169,4.2124,-10.5075,3.32
2754,3.1577,2.1158,-11.915,4.287,-8.8274,3.0794
2755,2.7623,1.9803,-13.955,3.916,-10.7103,2.9534
2756,5.3108,3.4453,-18.2898,6.2078,-14.4084,4.8393
2757,4.5597,3.223,-11.5133,5.5019,-14.1554,4.6061
2758,6.1557,3.9262,-14.86,7.0871,-13.7265,5.5467
2759,,,,,,
2760,5.369,3.8129,-17.5397,6.2013,-14.6924,5.5402
2761,3.2731,2.0067,-14.5792,4.9209,-11.3389,3.2453
2762,3.8909,2.4096,-18.1168,5.4428,-17.3292,3.6563
2763,2.9737,2.0462,-27.2453,4.5334,-19.8633,2.9769
2764,4.1052,2.7374,-13.4582,5.0238,-14.206,4.1491
2765,6.1982,3.6398,-9.1517,6.9356,-11.5674,5.0881
2766,5.7436,3.3848,-13.8228,7.3907,-19.8796,5.2278
2767,,,,,,
2767,,,,,,
2768,3.9727,2.6381,-11.1723,4.8382,-11.7429,3.5515
2777,3.8039,2.304,-14.3312,5.1443,-16.1134,3.6682
2778,2.6868,1.696,-27.8538,4.8346,-17.8297,2.8531
2779,2.0893,1.5886,-34.7461,3.7302,-27.4069,2.5943
2777,3.5397,2.3276,-17.3212,4.7049,-18.9502,3.6381
2780,3.5244,2.2392,-22.2838,4.7415,-22.7602,3.5338
2781,4.3923,3.0295,-16.5633,4.9894,-21.1295,4.2442
2782,6.6953,3.9171,-9.9359,7.696,-16.9423,5.694
2783,,,,,,
2784,4.2724,3.3309,-13.5003,5.415,-14.9012,4.689
2785,5.9405,3.4086,-14.826,6.6372,-17.3443,4.8706
2786,5.0121,3.5248,-13.6441,6.0124,-13.1527,4.8692
2787,6.5057,4.1037,-12.8946,7.2808,-12.975,5.7804
2788,5.363,3.8686,-17.5055,6.4466,-13.3635,5.3186
2789,6.3164,4.2534,-9.6319,6.9864,-12.9215,5.9783
2790,6.7557,4.298,-15.1002,7.9444,-21.1458,6.1842
2791,,,,,,
2792,3.4526,2.3067,-13.4645,3.8634,-17.0708,3.6808
3041,6.824,4.1316,-19.0766,8.3214,-18.8086,5.8036
3042,7.3371,4.9011,-22.4823,9.1838,-21.8178,6.8856
3043,7.2224,4.311,-20.9682,8.3779,-17.142,6.0355
3044,7.2257,4.358,-19.7098,8.5388,-21.7828,5.9626
3045,5.9069,3.7406,-16.6295,7.1092,-18.1023,5.3071
3046,4.6467,2.892,-18.9483,5.793,-19.7679,4.1233
3047,,,,,,
3048,4.6695,2.7389,-25.0581,6.2273,-22.4959,4.0066
3161,11.0992,6.7909,-20.8747,13.998,-8.4663,8.9232
3162,7.0258,4.4511,-12.2855,8.7957,-10.2725,5.9335
3163,9.8512,5.4806,-37.6909,12.2237,-24.3379,7.2816
3161,10.9981,6.8054,-21.6034,13.8158,-9.4054,8.9703
3164,4.1794,3.5326,-28.1497,5.6944,-14.2758,4.5636
3165,13.7927,8.2937,-10.7374,16.7551,-6.0329,11.1691
3166,10.447,6.0952,-14.9677,12.9218,-12.9862,8.2669
3167,,,,,,
3168,8.0783,5.1317,-24.5858,10.3295,-17.4544,6.9987
3169,9.2223,5.1216,-15.3089,10.8357,-14.5776,7.2857
3170,11.7869,7.1832,-14.9745,14.7639,-7.6815,9.6445
3171,10.8188,6.6275,-15.3818,13.4609,-10.4996,8.8511
3172,5.9731,3.7826,-32.1431,7.5996,-23.6734,5.0765
3173,14.3025,7.8619,-14.9922,17.4552,-9.7051,10.6692
3174,13.7436,7.4129,-21.2348,16.879,-11.2331,10.1316
3175,,,,,,
3176,12.3873,7.137,-15.9689,15.171,-11.1534,9.7551
3177,12.7289,6.9617,-5.1646,15.2845,-8.323,9.7525
3178,9.7085,5.2967,-9.2811,11.5554,-10.7316,7.2907
3179,8.2075,4.8031,-10.9358,9.8136,-14.493,6.6976
3180,5.4302,3.4539,-9.4663,6.3462,-16.8012,5.0398
3181,5.5883,3.7301,-13.2885,6.7095,-16.1817,5.2678
3182,11.3783,6.0631,-4.5043,13.5007,-8.4462,8.3932
3183,,,,,,
