SampleAnalysisId,MediaId,SiteCode,ExternalFilterId,SamplingStartDate,SampleVolume_m3,EC_bothlots_k3,EC_bothlots_k10,EC_bothlots_k18,EC_bothlots_k25,EC_bothlots_k30,EC_bothlots_k40,EC_recommended_ugm3,EC_lot251only_recommended
4341,4157,ETAD,ETAD-0306-2,2025-12-20,7.1928,1.6724,4.3756,4.236,6.0886,3.8956,3.5756,3.8956,4.005
4342,4158,ETAD,ETAD-0307-3,2025-12-23,7.1928,0.9673,4.3441,4.8744,6.9636,6.0059,5.5858,6.0059,6.0197
4343,4159,ETAD,ETAD-0308-4,2025-12-26,7.1928,2.1068,4.8002,6.1106,8.263,6.782,7.1377,6.782,7.1249
4344,4160,ETAD,ETAD-0309-5,2025-12-29,7.1928,0.7568,3.5646,3.6312,5.5499,4.4858,4.0359,4.4858,4.5836
4345,4161,ETAD,ETAD-0310-6,2026-01-01,7.1712,1.6717,4.823,3.4239,4.4445,2.7875,3.7452,2.7875,3.044
4346,4162,ETAD,ETAD-0311-7,,0.0,,,,,,,,
4347,4163,ETAD,ETAD-0312-8,2026-01-04,7.1928,0.7506,2.1467,2.2875,3.5521,2.8045,3.6022,2.8045,2.9798
4577,4460,ETAD,ETAD-0313-1,2026-01-14,7.3584,0.9081,4.4973,5.5819,7.4765,6.0314,5.7899,6.0314,5.9262
4578,4461,ETAD,ETAD-0314-2,2026-01-17,7.3584,1.0786,1.8924,2.3908,3.4587,2.664,2.7391,2.664,2.442
4579,4462,ETAD,ETAD-0315-3,2026-01-20,7.3584,1.0144,1.5528,1.813,3.253,2.027,2.3901,2.027,1.9284
4580,4460,ETAD,ETAD-0313-1,2026-01-14,7.3584,0.6272,3.9912,5.3571,7.085,5.5841,5.3936,5.5841,5.5038
4581,4463,ETAD,ETAD-0316-4,2026-01-23,7.3584,0.8932,2.4474,3.5069,5.389,4.2775,4.6993,4.2775,4.1595
4582,4464,ETAD,ETAD-0317-5,2026-01-26,7.3584,1.3871,1.991,2.6654,4.8529,3.7478,5.6466,3.7478,3.9562
4583,4465,ETAD,ETAD-0318-6,2026-01-29,7.3584,0.6251,1.2898,1.3745,2.5098,1.6617,3.1816,1.6617,1.8761
4584,4466,ETAD,ETAD-0319-7,,0.0,,,,,,,,
4585,4467,ETAD,ETAD-0320-8,2026-02-01,7.3584,1.3032,1.3448,1.6285,2.9304,1.5254,3.1823,1.5254,1.5956
4586,4468,ETAD,ETAD-0321-1,2026-02-11,7.272,0.5042,2.1285,3.3469,5.3664,4.1768,4.1552,4.1768,4.1683
4587,4469,ETAD,ETAD-0322-2,2026-02-14,7.272,0.8718,2.1916,3.3972,5.453,4.1474,4.1325,4.1474,4.0973
4588,4470,ETAD,ETAD-0323-3,2026-02-17,7.272,1.1626,2.1741,2.5048,4.573,3.1276,3.0623,3.1276,2.8577
4589,4471,ETAD,ETAD-0324-4,2026-02-20,7.272,1.1647,2.2234,2.638,3.6545,2.3927,3.4386,2.3927,2.0976
4590,4472,ETAD,ETAD-0325-5,2026-02-23,7.272,0.5615,1.2554,1.7161,2.9584,1.8655,2.2641,1.8655,1.8444
4591,4473,ETAD,ETAD-0326-6,2026-02-26,7.272,1.1902,2.2657,2.8892,5.1852,3.9792,4.4033,3.9792,4.0401
4592,4474,ETAD,ETAD-0327-7,,0.0,,,,,,,,
4593,4475,ETAD,ETAD-0328-8,2026-03-01,7.3584,0.9752,1.0059,1.5056,3.0974,2.1581,2.4215,2.1581,2.0104
