MediaId,EC_all_nofilt_k3,EC_all_nofilt_k10,EC_all_nofilt_k18,EC_all_nofilt_k21_kmin,EC_all_nofilt_k25,EC_all_nofilt_k40
1949,11.2223,38.3079,51.9464,58.6075,61.603,46.6984
1950,-3.2297,-1.6774,0.2036,2.4485,4.6015,5.8759
1951,8.2444,32.0192,40.5042,44.4456,48.8978,42.0357
1952,15.4215,44.0673,46.0352,49.0245,48.6745,46.4891
1953,5.7147,30.9178,40.6829,44.124,48.6484,41.3647
1954,3.4063,17.5887,24.8639,29.7285,38.5393,34.6968
1955,3.8598,15.0071,19.9158,27.0337,35.841,30.977
1956,9.5518,26.6977,30.2512,38.4183,50.3486,56.3706
1957,3.7951,14.7485,18.2651,19.2918,25.6281,25.2864
1958,-4.6895,-4.2928,0.8712,-0.5428,2.5021,5.8868
1959,4.0966,11.2232,17.6522,21.3674,26.1242,24.7416
1960,5.6983,23.6006,27.3453,32.1667,40.1876,42.5913
1961,1.5039,16.5307,25.8309,28.8329,34.5837,34.7341
1962,7.4101,26.9173,33.3148,36.7715,45.0133,42.2815
1963,-0.1815,11.9414,20.1203,20.9252,24.9456,22.1092
1964,3.8233,23.7982,33.1559,34.8224,40.5567,37.4464
1965,5.95,23.162,24.22,30.0686,38.4354,37.8629
1966,-4.2331,-4.5863,-1.2759,-1.9346,0.622,2.5658
1967,9.1533,24.4685,23.6211,25.1087,32.2591,30.5723
1936,11.651,51.0622,67.0584,73.4691,77.3628,70.5961
1937,14.0698,46.9191,58.7115,64.6064,61.9402,62.359
1938,15.208,55.2623,72.091,79.0161,79.7843,73.413
1939,9.9049,41.3301,55.572,61.0132,61.5298,55.1419
1940,11.2255,45.3257,59.5968,64.2749,67.7066,62.1352
1941,12.9732,47.6272,63.4165,69.3327,71.9764,63.0985
1942,-2.1162,-0.2427,1.7835,1.7127,3.8335,4.3914
1943,7.2165,16.6704,21.8279,25.0415,27.5764,28.9979
2353,4.4185,16.31,19.6312,23.2179,29.0077,27.7151
2354,3.9872,17.0362,23.1814,30.1985,35.4186,30.4303
2355,-12.5779,2.0448,3.8873,13.55,9.457,8.2528
2355,8.7514,26.5513,32.4149,38.8046,43.4054,38.1303
2356,8.6187,26.8107,30.2015,35.9768,43.1317,35.8594
2357,5.8425,22.2248,30.1138,34.8408,38.1672,33.7002
2358,3.6255,15.9258,20.7716,21.5486,27.5636,26.6436
2359,-0.8705,0.7464,5.0635,4.8595,6.4594,4.8697
2360,7.1823,16.9676,16.9329,19.8861,26.9924,29.6782
2361,7.5363,25.4237,25.0782,27.7539,34.9422,31.7002
2362,8.1198,20.2673,17.8402,24.461,33.473,32.0697
2363,4.7239,22.3966,26.9447,30.8236,38.0016,37.753
2364,4.9751,26.0763,34.5612,38.1062,41.7027,35.6077
2365,4.1698,14.1874,22.5216,24.558,29.1704,28.7603
2366,6.099,21.6575,30.3764,32.4119,39.085,36.54
2367,-0.3969,0.3231,3.6592,0.7009,2.6758,2.9406
2368,8.9498,22.3272,26.7765,29.2309,34.5738,35.2864
2737,4.0489,16.1527,24.3147,27.2298,32.3789,28.1995
2738,7.1803,18.7298,25.9055,27.988,32.0296,25.79
2739,4.4373,19.5566,28.9355,31.4071,36.2235,31.9267
2740,3.6287,15.2947,22.5612,26.3448,30.4802,23.5326
2741,7.6235,26.318,36.0843,39.574,45.0481,35.1025
2742,8.1574,30.0344,41.5681,46.1675,49.5094,38.7925
2743,-5.1885,-1.4986,3.3791,4.8568,5.2905,2.2116
2744,7.2179,21.7685,25.0981,27.7665,34.2944,27.5826
2745,10.5814,39.0959,48.986,55.2329,57.899,44.8654
2746,10.9618,25.9448,31.0354,33.6771,34.907,28.4928
2747,7.1604,26.3701,33.8527,38.3935,41.4219,30.7262
2748,5.8657,14.6562,15.3393,15.2234,18.1761,13.2571
2749,9.281,28.0923,33.5685,36.2507,41.643,34.105
2750,11.7666,35.7448,47.5702,53.9061,57.7441,47.3556
2751,-3.8891,-2.2816,3.1602,3.055,4.0994,2.9247
2752,2.7579,12.6872,18.3873,21.4903,25.5445,20.5746
2753,3.1584,15.7197,22.8179,26.7068,30.1551,23.7356
2754,2.5237,15.2918,22.1492,26.3329,31.1495,23.3681
2755,4.6945,14.0718,20.3627,22.5356,26.7718,22.1272
2756,4.517,24.6744,38.2728,41.6738,43.6697,36.6148
2757,6.0859,21.8952,34.5095,37.3913,39.0993,29.4209
2758,6.6169,27.6511,43.6636,49.2373,51.2715,41.761
2759,-0.1475,-0.8507,5.0508,3.4198,3.906,3.5734
2760,11.331,23.4185,38.4558,43.1459,43.0056,31.6651
2761,6.966,14.1925,23.8029,25.8643,31.1905,30.0826
2762,5.5285,16.3408,28.2582,30.9998,33.0501,25.713
2763,7.7503,13.2871,21.9665,24.0208,26.3226,23.7217
2764,7.1315,17.5616,30.6959,32.8203,34.8219,29.4707
2765,8.2305,30.1611,45.1186,48.9121,51.3135,36.6223
2766,7.1941,22.4894,41.6232,45.0297,48.4452,36.3204
2767,-3.3431,-3.7978,0.887,0.1455,2.7073,5.4802
2767,-3.5943,-3.1014,1.0729,0.2863,3.217,4.9401
2768,5.2028,17.8519,29.8705,31.7416,35.4919,34.3514
2777,4.8631,15.7134,28.2109,30.1394,32.2395,24.0179
2778,4.7128,11.0733,19.688,24.5344,27.2252,17.6275
2779,2.8582,7.1902,18.0267,19.6561,20.5145,13.5947
2777,3.7309,13.426,26.0459,28.6716,30.0522,20.1388
2780,3.7129,13.3947,27.2632,28.4816,29.5424,18.5644
2781,5.2203,16.0267,32.443,36.3354,36.0737,20.6737
2782,4.5046,30.086,48.7823,52.8358,55.004,38.7117
2783,-3.3436,-2.2466,1.741,1.6469,1.4778,-3.41
2784,5.3235,21.5845,32.3703,35.7955,35.4269,24.3895
2785,5.2527,26.7349,44.2041,48.4317,48.5974,32.3293
2786,5.5754,25.4553,37.461,41.3256,43.2562,28.5158
2787,8.8337,33.8188,48.6807,52.4744,54.8268,38.3081
2788,9.1564,29.3135,40.0815,44.616,45.0885,25.9954
2789,10.2083,31.3205,47.2786,50.5177,50.6016,34.0998
2790,8.2981,29.9468,50.8653,55.3628,58.5312,43.2355
2791,-2.9154,-1.0415,3.8454,3.8406,4.02,-1.9703
2792,5.4795,12.0194,26.6985,27.5641,27.9312,15.8339
3041,7.3799,30.3899,49.9993,56.0277,59.1491,47.4547
